,tic,date,close,open,high,low,volume,macd,rsi_30,cci_30,dx_30,kdjk,open_2_sma,boll,close_10.0_le_5_c,wr_10,dma,trix,turbulence
0,FPT,2009-01-02,7.133,7.133,7.133,7.103,47170,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,HPG,2009-01-02,1.894,1.923,1.923,1.887,134370,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,REE,2009-01-02,4.818,4.818,4.886,4.818,112520,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,SBT,2009-01-02,3.493,3.624,3.624,3.452,24260,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,SSI,2009-01-02,6.145,6.105,6.145,6.105,240940,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,STB,2009-01-02,7.042,6.964,7.082,6.964,314640,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,VIC,2009-01-02,5.1,5.1,5.1,5.1,200,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
0,VNM,2009-01-02,4.905,4.818,4.905,4.818,64000,0.0,100.0,-66.66666666666845,100.0,66.66666666666666,7.133,7.133,1.0,0.0,0.0,0.0,0.0
1,FPT,2009-01-05,7.133,7.133,7.133,7.003,163060,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,HPG,2009-01-05,1.876,1.894,1.894,1.856,256230,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,REE,2009-01-05,4.935,4.844,4.954,4.844,262030,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,SBT,2009-01-05,3.409,3.368,3.535,3.368,27920,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,SSI,2009-01-05,6.357,6.145,6.357,6.059,717230,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,STB,2009-01-05,7.004,7.042,7.042,6.964,344920,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,VIC,2009-01-05,5.1,4.845,5.1,4.845,6550,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
1,VNM,2009-01-05,4.877,4.849,4.905,4.849,107070,0.0,100.0,-66.66666666666845,100.0,77.77777777777777,7.133,7.133,2.0,0.0,0.0,0.0,0.0
2,FPT,2009-01-06,7.348,7.133,7.348,7.133,260030,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,HPG,2009-01-06,1.905,1.881,1.923,1.881,309090,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,REE,2009-01-06,5.163,5.071,5.163,5.046,380750,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,SBT,2009-01-06,3.452,3.452,3.493,3.409,27700,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,SSI,2009-01-06,6.676,6.443,6.676,6.443,1102630,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,STB,2009-01-06,7.082,7.042,7.121,7.004,719720,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
