,tic,date,close,open,high,low,volume,macd,rsi_30,cci_30,dx_30,kdjk,open_2_sma,boll,close_10.0_le_5_c,wr_10,dma,trix,turbulence
2,VIC,2009-01-06,4.971,4.971,4.971,4.971,1360,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
2,VNM,2009-01-06,4.936,4.936,4.99,4.936,57160,0.006667137135099033,100.0,99.9999999999996,39.36225823314179,85.18518518518518,7.133000000000001,7.204666666666667,3.0,0.0,0.0,0.17921017365929345,0.0
3,FPT,2009-01-07,7.56,7.49,7.703,7.49,764810,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,HPG,2009-01-07,1.968,1.954,1.985,1.942,674740,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,REE,2009-01-07,5.415,5.415,5.415,5.415,313740,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,SBT,2009-01-07,3.368,3.409,3.577,3.368,40090,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,SSI,2009-01-07,6.993,6.948,6.993,6.888,1271410,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,STB,2009-01-07,7.161,7.272,7.311,7.161,926750,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,VIC,2009-01-07,5.034,4.908,5.034,4.908,2920,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
3,VNM,2009-01-07,5.024,5.11,5.136,5.024,218480,0.01719026645352617,100.0,130.0411522633743,72.80693245384302,83.3139329805996,7.3115000000000006,7.2935,4.0,20.42857142857152,0.0,0.3105662479482388,0.0
4,FPT,2009-01-08,7.348,7.348,7.56,7.275,393810,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,HPG,2009-01-08,1.936,1.923,1.961,1.918,429640,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,REE,2009-01-08,5.44,5.44,5.669,5.347,1117160,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,SBT,2009-01-08,3.409,3.409,3.409,3.326,16490,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,SSI,2009-01-08,6.655,6.781,6.993,6.655,1037170,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,STB,2009-01-08,7.082,7.082,7.161,7.042,473490,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,VIC,2009-01-08,5.034,4.971,5.034,4.971,23750,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
4,VNM,2009-01-08,4.99,5.049,5.11,4.964,191380,0.014110511242283685,65.68684752407586,42.90091930541351,27.337921288598626,71.9711934156378,7.4190000000000005,7.304399999999999,5.0,50.714285714285765,0.0,0.3011234290838984,0.0
5,FPT,2009-01-09,7.206,7.275,7.418,7.206,218970,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,HPG,2009-01-09,1.942,1.942,1.954,1.936,386190,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,REE,2009-01-09,5.298,5.44,5.466,5.255,492070,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,SBT,2009-01-09,3.409,3.326,3.409,3.326,11160,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,SSI,2009-01-09,6.503,6.635,6.655,6.398,553330,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,STB,2009-01-09,7.082,7.082,7.121,7.042,417970,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,VIC,2009-01-09,5.002,4.908,5.034,4.908,1700,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
5,VNM,2009-01-09,4.936,4.936,4.99,4.936,238010,0.0059219268515224854,53.069188027111814,-7.076923076922502,16.795178970346363,57.647462277091876,7.3115,7.288,5.0,70.99999999999996,0.0,0.23956355955355593,0.0
6,FPT,2009-01-12,7.206,7.206,7.275,7.133,115600,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,HPG,2009-01-12,1.942,1.936,1.942,1.923,183960,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,REE,2009-01-12,5.163,5.231,5.231,5.139,217620,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,SBT,2009-01-12,3.368,3.409,3.409,3.326,12040,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,SSI,2009-01-12,6.422,6.462,6.503,6.357,442200,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,STB,2009-01-12,7.004,7.004,7.042,6.964,399700,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,VIC,2009-01-12,5.002,4.845,5.002,4.845,6160,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
6,VNM,2009-01-12,4.877,4.877,4.905,4.877,84160,0.0005685047808494659,53.069188027111814,-40.803040565966334,6.795495855593211,48.09830818472793,7.240500000000001,7.276285714285715,5.0,70.99999999999996,0.0,0.17943574598741213,0.0
7,FPT,2009-01-13,7.119,7.133,7.206,7.09,247860,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,HPG,2009-01-13,1.913,1.93,1.93,1.905,248290,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,REE,2009-01-13,5.027,5.046,5.095,5.002,342150,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,SBT,2009-01-13,3.279,3.326,3.368,3.279,58150,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,SSI,2009-01-13,6.185,6.291,6.357,6.163,605330,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,STB,2009-01-13,6.893,6.933,7.004,6.893,686040,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,VIC,2009-01-13,4.971,4.908,4.971,4.908,6570,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
7,VNM,2009-01-13,4.877,4.877,4.877,4.849,28020,-0.0071679732105147664,47.133057780347414,-66.98542805100209,1.3326372707821084,37.58934831362812,7.1695,7.2566250000000005,5.0,83.42857142857149,0.0,0.11894654102923094,0.0
8,FPT,2009-01-14,7.275,7.206,7.348,7.103,302370,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,HPG,2009-01-14,1.913,1.894,1.949,1.894,242350,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,REE,2009-01-14,5.027,5.163,5.231,4.911,399450,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,SBT,2009-01-14,3.279,3.237,3.368,3.237,14610,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,SSI,2009-01-14,6.272,6.251,6.398,6.163,463570,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,STB,2009-01-14,6.933,6.893,7.042,6.893,399140,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,VIC,2009-01-14,5.034,4.877,5.034,4.877,7250,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
8,VNM,2009-01-14,4.936,4.818,4.936,4.818,72860,-0.004676547128724451,56.21735917014746,-10.161904051332323,16.42410980147795,38.0119464947997,7.169500000000001,7.258666666666667,5.0,61.142857142857125,0.0,0.08426791049659442,0.0
9,FPT,2009-01-15,7.133,7.133,7.206,7.133,249240,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,HPG,2009-01-15,1.905,1.9,1.913,1.9,128320,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,REE,2009-01-15,4.978,4.954,5.002,4.935,150350,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,SBT,2009-01-15,3.194,3.237,3.279,3.194,35690,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,SSI,2009-01-15,6.251,6.163,6.272,6.163,195550,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,STB,2009-01-15,6.893,6.893,6.933,6.853,387710,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,VIC,2009-01-15,5.002,4.908,5.034,4.908,3300,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
9,VNM,2009-01-15,4.818,4.818,4.849,4.818,170910,-0.010155484712451646,48.38790999115967,-56.693565073453584,16.424109801477947,31.531773853675983,7.169500000000001,7.2461,5.0,81.42857142857144,0.0,0.04993842916929827,0.0
10,FPT,2009-01-16,7.206,7.275,7.275,7.133,188470,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,HPG,2009-01-16,1.9,1.905,1.918,1.894,121720,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,REE,2009-01-16,5.002,5.046,5.071,4.954,158650,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,SBT,2009-01-16,3.194,3.194,3.237,3.194,27750,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,SSI,2009-01-16,6.251,6.251,6.337,6.211,377090,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,STB,2009-01-16,6.893,6.933,6.933,6.853,503190,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,VIC,2009-01-16,5.227,5.1,5.227,5.1,40370,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
10,VNM,2009-01-16,4.905,4.818,4.905,4.818,78340,-0.010083112904347935,51.94700058234224,-26.52200120554602,22.966353144518408,27.328958534315824,7.204000000000002,7.242454545454546,5.0,70.99999999999996,0.010945454545455036,0.025940094816730788,0.0
11,FPT,2009-01-19,7.206,7.206,7.206,7.133,155140,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,HPG,2009-01-19,1.876,1.9,1.9,1.876,161320,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,REE,2009-01-19,5.002,4.978,5.027,4.954,72180,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,SBT,2009-01-19,3.153,3.194,3.194,3.153,17150,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,SSI,2009-01-19,6.251,6.251,6.251,6.185,247380,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,STB,2009-01-19,6.814,6.893,6.893,6.814,535320,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,VIC,2009-01-19,5.227,5.227,5.354,5.227,4680,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
11,VNM,2009-01-19,4.905,4.936,4.936,4.877,28980,-0.009892874761505688,51.94700058234224,-40.06359300476971,22.966353144518404,24.527081654742382,7.240500000000003,7.239416666666667,5.0,81.0766721044045,0.021283333333334653,0.008986336546365674,0.0
12,FPT,2009-01-20,7.119,7.133,7.133,7.09,224930,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,HPG,2009-01-20,1.869,1.874,1.874,1.863,142670,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,REE,2009-01-20,4.935,4.954,4.978,4.935,231830,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,SBT,2009-01-20,3.027,3.153,3.153,3.027,66670,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,SSI,2009-01-20,6.163,6.231,6.231,6.125,266930,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,STB,2009-01-20,6.696,6.735,6.774,6.696,706340,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,VIC,2009-01-20,5.227,5.227,5.227,5.227,12780,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
12,VNM,2009-01-20,4.905,4.877,4.936,4.877,4930,-0.014535026736879786,47.74764670131901,-80.28972422849729,16.47372677588742,18.40812535848073,7.169500000000002,7.230153846153846,5.0,95.26916802610116,0.007646153846155634,-0.009307660118635507,0.0
13,FPT,2009-01-21,7.09,7.103,7.133,7.09,135320,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,HPG,2009-01-21,1.837,1.863,1.869,1.837,142920,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,REE,2009-01-21,4.954,4.954,4.978,4.935,165420,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,SBT,2009-01-21,3.111,2.985,3.111,2.985,27250,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,SSI,2009-01-21,6.145,6.145,6.145,6.08,315440,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,STB,2009-01-21,6.585,6.617,6.656,6.585,748640,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,VIC,2009-01-21,5.196,5.227,5.227,5.164,2150,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
13,VNM,2009-01-21,4.818,4.877,4.877,4.818,80320,-0.01950168863633639,46.45274911606191,-81.17384914426697,16.473726775887418,12.272083572320486,7.118000000000002,7.220142857142858,5.0,100.0,-0.029342857142856893,-0.02843657941221472,0.0
14,FPT,2009-01-22,7.206,7.063,7.206,7.063,151060,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,HPG,2009-01-22,1.863,1.863,1.863,1.851,49000,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,REE,2009-01-22,5.002,5.002,5.027,4.978,87970,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,SBT,2009-01-22,3.111,3.153,3.194,3.111,7910,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,SSI,2009-01-22,6.211,6.163,6.231,6.145,151140,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,STB,2009-01-22,6.656,6.585,6.696,6.585,398340,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
14,VIC,2009-01-22,5.034,5.196,5.196,5.034,26920,-0.016114847479624217,51.855482496234615,-42.22722883810747,24.234214958808263,24.906535247044136,7.083000000000002,7.219200000000001,5.0,59.718309859154786,-0.04259999999999842,-0.038607454305453974,0.0
