,0
0,10000.0
1,9880.769876000002
2,9997.756074712466
3,10471.475128
4,10391.813128000002
5,10543.181128000002
6,10526.815172000002
7,10709.865528000002
8,10788.840952000002
9,10780.946920000002
10,10629.680920000003
11,10566.032920000003
12,10709.123818000002
13,10693.172794000002
14,10709.084794000002
15,10748.77115
16,10828.589150000002
17,10861.319150000001
18,10909.014498000002
19,10909.204076000002
20,10829.705424000002
21,10789.835080000003
22,10789.835080000003
23,10950.29908
24,11030.349080000004
25,11054.397080000002
26,11141.65508
27,11205.017080000001
28,11348.81708
29,11396.683080000003
30,11428.999080000001
31,11867.50508
32,11899.183788000002
33,12114.799952000003
34,11676.767574000003
35,11804.165574000002
36,11278.175738000004
37,11302.507738000002
38,11421.905982000002
39,11350.301982
40,11270.493294000002
41,11167.020606000002
42,10951.493996000001
43,10999.185852000002
44,11111.039474000001
45,11056.279474000003
46,10968.615854000001
47,10952.634158
48,11031.830158000004
49,10943.748158
50,11070.704158
51,10869.660158000002
52,10909.752158000003
53,10908.666158000002
54,10908.624572000002
55,10908.603547000002
56,10805.308309000002
57,10773.45381
58,11075.985810000002
59,11107.890320000002
60,11067.839320000001
61,11027.918320000004
62,10892.720320000002
63,10964.658320000002
64,10821.503320000003
65,10813.121320000004
66,10836.833320000002
67,10844.596320000004
68,10868.270320000003
69,10788.587566000004
70,10804.499566000002
71,10629.427222000002
72,10358.576878000003
73,10151.705776
74,10351.459776000002
75,10351.149776
76,10375.583776000001
77,10391.083776000001
78,10470.706054
79,10318.211866000003
80,10349.673866000003
81,10230.193228
82,10246.463111000005
83,10398.358538000002
84,10700.749670000001
85,10827.976568000002
86,10835.791700000002
87,10899.087744000002
88,10835.673744000002
89,10987.559744000002
90,10669.177246000003
91,10557.589246000003
92,10557.548824000003
93,10429.372824000004
94,10707.726824000003
95,10548.170824000004
96,10619.642824000002
97,10508.219956
98,10348.997956000001
99,10228.571981000001
100,10276.736981
101,10309.04053
102,10228.358530000001
103,10237.024206000002
104,10261.330206000002
105,10148.581104
106,10124.407104000002
107,9963.349104000003
108,10003.600624
109,10003.290624000001
110,9946.744454000001
111,9979.185337
112,9971.096981
113,10148.334035
114,9955.005089000002
115,9979.077089000002
116,9987.135089000001
117,9954.656609000001
118,9946.806609000001
119,10108.280609000001
120,10115.948609000003
121,10188.624609000004
122,10205.284609000004
123,10205.245507000003
124,10044.187507000002
125,10108.432561000001
126,10108.202561000002
127,10124.279923000002
128,10027.583923000004
129,9963.109055000003
130,10027.471055000004
131,10141.521055000001
132,10076.669055000002
133,10261.979055000002
134,10148.415055000001
135,10140.435055000002
136,10155.929055000002
137,10115.600731000002
138,10067.394949000001
139,9986.675089
140,9985.473695
141,9961.171695000003
142,10041.905695000003
143,10025.651541000003
144,9864.593541000002
145,9718.608939000003
146,9782.270939000004
147,9774.180045000001
148,9782.238045000002
149,9750.108045
150,9540.099677000004
151,9596.429677000002
152,9862.207851000003
153,10031.323851000003
154,10095.675327000003
155,10055.231327000001
156,10015.663327000004
157,10023.465327000004
158,9942.729327000003
159,9740.295327000002
160,9619.217327000002
161,9651.371327000003
162,9941.222199000002
163,9941.222199000002
164,10021.688837000003
165,10005.539555000003
166,9860.408349000001
167,9924.839299000003
168,10061.482559000002
169,9996.706559000002
170,9867.858559000004
171,9859.768361000002
172,9868.570009000005
173,9983.184881000003
174,10065.090881000002
175,10163.418881000001
176,10155.257123000001
177,10032.330248
178,10228.696966000003
179,10425.319838000001
180,10384.299041000004
181,10679.062244000002
182,10687.733671000002
183,10654.973671000002
184,10515.740827000003
185,10434.130827000003
186,10597.924672000001
187,10565.080672000002
188,10606.084672000003
189,10598.150571
190,10434.321227000002
191,10434.303964000002
192,10516.090701000003
193,10565.601438000003
194,10541.103811
195,10713.018305000003
196,10761.918305000003
197,10884.811001000002
198,10974.615900000003
199,10884.697043000004
200,10868.111043000003
201,10893.403043000004
202,11049.020517
203,10991.579991000002
204,11015.277082000002
205,10846.295082000002
206,10684.089082000002
207,10879.684082000002
208,10792.117082
209,10622.167082000002
210,10694.534082000002
211,10615.703082000004
212,10623.749300418243
213,10631.696384000003
214,10484.189210000002
215,10320.377210000002
216,10352.797210000002
217,10114.875210000002
218,9934.479210000003
219,10229.523210000001
220,10196.322791000004
221,10032.474860000002
222,9991.013358000002
223,10105.280358000002
224,10113.070937000002
225,10038.978937
226,10038.946761000001
227,9990.088545000002
228,9727.914091000002
229,9572.364091000003
230,9768.918091000003
231,9687.012091000002
232,9564.010321000003
233,9711.664321000004
234,9719.074321000002
235,9751.594321000004
236,9800.625523
237,9702.042075000001
238,9759.334953000003
239,9628.264953000004
240,9750.738723000004
241,9840.320723000003
242,9864.873383000002
243,9701.061383000002
244,9750.225383000003
245,9701.061383000002
246,9701.113883000002
247,9799.913883000003
248,9659.641883000002
249,9659.612463000003
250,9775.817205000003
251,9808.835381
252,9734.365799000003
253,9825.227799000002
254,9849.203799000003
255,9832.651027000002
256,9857.973931000002
257,9734.116269000002
258,9767.062269000002
259,9767.032445000003
260,9801.216445000002
261,9834.233485000002
262,9867.485698000002
263,10032.690672000002
264,10057.476672000003
265,9669.264672000003
266,9000.246672000003
267,8983.309363000002
268,8710.733435000002
269,8842.696602000002
270,8918.313390000003
271,9141.128295000002
272,9041.651295000003
273,8892.812871
274,8893.380871000001
275,8868.566019000004
276,8843.678019000003
277,8917.867167000004
278,8752.598557000001
279,8827.008109000002
280,8827.008109000002
281,9000.164109000003
282,8826.735825000002
283,8958.825825000002
284,8711.067825000002
285,8909.800325000004
286,8669.827325000004
287,8669.513167000005
288,8735.468752000002
289,8694.720898000001
290,8669.908558000003
291,8644.831326000001
292,8050.246256000001
293,8438.318447000001
294,8427.503447000001
295,8369.634191000001
296,8220.918191
297,8047.4419910000015
298,7966.671991000001
299,7882.772564000003
300,7387.154564000002
301,7469.711452000002
302,6949.379652000002
303,7147.667652000003
304,7634.921652000003
305,7800.059652000003
306,7806.832167000001
307,7565.269167000001
308,7548.988167000002
309,7798.693167000002
310,7883.380167000002
311,7982.491950000002
312,8172.185750000002
313,8213.295750000001
314,8306.453060000002
315,8265.105830000002
316,8223.233318000002
317,8215.036229000001
318,8231.945999000001
319,8240.207999000002
320,8240.170346000003
321,8298.004346000002
322,8033.620346000002
323,8092.687103000001
324,7976.981591000002
325,8530.255079
326,8529.832079000002
327,8339.769131000003
328,8215.941131000001
329,8100.273131000002
330,8340.139531000003
331,8422.729531000003
332,8579.707531000002
333,8712.606301000002
334,9003.507301000003
335,9449.694301000001
336,9432.645301000002
337,9374.873674000002
338,9192.325483000002
339,9217.573483000002
340,9341.926483000003
341,9457.594483000003
342,9540.355483000003
343,9490.641010000003
344,9755.689678000002
345,9757.945678000002
346,9543.192385000004
347,9526.383361000002
348,9542.967478000002
349,9633.747478000001
350,9625.485478
351,9675.057478000002
352,9774.367778000003
353,9890.003778000002
354,10187.553778000003
355,10368.777450000001
356,10203.507648000004
357,10145.673648000002
358,9790.881148000002
359,9292.227632
360,9705.184877000002
361,9589.516877000002
362,9556.440673000001
363,9540.582673000003
364,9573.499905
365,9623.071905
366,9713.265633000003
367,9655.525633000003
368,9614.185925000003
369,9404.983925000004
370,9471.917225000003
371,9640.078747000003
372,9497.931129000004
373,9589.904179000003
374,9790.910429000003
375,9748.935147000002
376,9707.397147000003
377,9741.135147000003
378,9691.139147000002
379,9649.217147000003
380,9684.185147000004
381,9751.065747000002
382,9876.588629000002
383,9818.228629000001
384,9725.910579000003
385,9751.252579000002
386,9592.201929000003
387,9600.565929000004
388,9341.179929000004
389,8696.845929000003
390,9240.811929000003
391,8914.411929000004
392,9165.433929000003
393,8998.153929000004
394,9182.161929000004
395,9357.874229000003
396,9424.752529000003
397,9650.698429000002
398,9709.314279000002
399,9625.572279000002
400,9625.572279000002
401,9717.484179000003
402,9784.996179000002
403,9809.338179
404,9834.051079000003
405,9716.920079000001
406,9692.234879000001
407,9683.827229000004
408,9718.290179000001
409,9794.466179000001
410,9861.333179000003
411,9844.605179000004
412,9853.074029000001
413,10028.820029000002
414,10170.510029000003
415,10354.473329000002
416,10480.440029000003
417,10505.982029000004
418,10589.472029000002
419,10440.270029000003
420,10406.862029000004
421,10482.192479000003
422,10406.814479000004
423,10440.325229000002
424,10490.659229000003
425,10440.775229000003
426,10466.167229
427,10625.983229000001
428,10935.606329000002
429,10893.751329000002
430,10860.595329000002
431,10701.645929000004
432,10735.061529
433,10786.505779000003
434,11188.955779000002
435,11158.305529000003
436,11200.771629000003
437,11068.071629000002
438,10996.636129000002
439,10966.036129000002
440,11068.036129000002
441,10955.836129000003
442,10935.436129000002
443,10965.700129000003
444,10975.300129000001
445,11007.000129000004
446,11017.163929000002
447,11006.963929000003
448,11037.927629000003
449,10884.627629000002
450,10904.027629000004
451,10935.227629000003
452,11271.627629000002
453,11322.591829000003
454,11229.956629
455,11005.522229000004
456,10954.330479000004
457,11066.488879000002
458,11025.688879000001
459,11036.254579000002
460,11066.819879000002
461,11148.419879000003
462,11148.478079000002
463,11149.101879000003
464,11016.466879000003
465,11016.466879000003
466,10965.431879000003
467,11006.831879000005
468,10976.196279000002
469,11027.196279000002
470,11210.796279000004
471,11241.459479000001
472,11363.359479000002
473,11333.759479
474,11231.722079000001
475,11323.984179000003
476,11262.745779000004
477,11252.545779000004
478,11089.345779000003
