,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,995366.9802629942
2,2019-01-04,1005875.7326712357
3,2019-01-07,1008044.8300037722
4,2019-01-08,1015764.9150659912
5,2019-01-09,1020414.123852314
6,2019-01-10,1025758.7819484876
7,2019-01-11,1025967.4282753902
8,2019-01-14,1023696.6307300281
9,2019-01-15,1028486.883970464
10,2019-01-16,1038796.5509084846
11,2019-01-17,1046041.4463244317
12,2019-01-18,1063059.30896495
13,2019-01-22,1048257.0112313054
14,2019-01-23,1054347.400388811
15,2019-01-24,1054150.5433629106
16,2019-01-25,1065923.2815975281
17,2019-01-28,1060185.6085666937
18,2019-01-29,1065255.4342443333
19,2019-01-30,1088393.2476437772
20,2019-01-31,1088234.7449120986
21,2019-02-01,1091531.3038467576
22,2019-02-04,1101123.7389186516
23,2019-02-05,1111657.8823379667
24,2019-02-06,1112649.3106273627
25,2019-02-07,1103351.9829346486
26,2019-02-08,1100637.9148027436
27,2019-02-11,1096296.7999291662
28,2019-02-12,1114418.8541836645
29,2019-02-13,1120087.3953016205
30,2019-02-14,1116951.4035122588
31,2019-02-15,1138914.0160525178
32,2019-02-19,1137963.6675624321
33,2019-02-20,1141825.6773945773
34,2019-02-21,1135129.982504376
35,2019-02-22,1144286.3517121165
36,2019-02-25,1145258.5070175077
37,2019-02-26,1143359.762120793
38,2019-02-27,1141269.2537919478
39,2019-02-28,1138837.050859035
40,2019-03-01,1146149.4969927587
41,2019-03-04,1134679.8731917571
42,2019-03-05,1133650.0371359838
43,2019-03-06,1128009.3278023037
44,2019-03-07,1118967.937962348
45,2019-03-08,1119804.3720924382
46,2019-03-11,1118120.8412214024
47,2019-03-12,1104253.531700424
48,2019-03-13,1111079.9937702636
49,2019-03-14,1110078.678533051
50,2019-03-15,1115569.2294906655
51,2019-03-18,1115573.8400769643
52,2019-03-19,1112676.7494306455
53,2019-03-20,1105982.53938381
54,2019-03-21,1108642.4551329056
55,2019-03-22,1086349.3278948697
56,2019-03-25,1089550.179921029
57,2019-03-26,1097162.3246577764
58,2019-03-27,1097018.6639056108
59,2019-03-28,1100845.3623228874
60,2019-03-29,1109858.3746851506
61,2019-04-01,1129958.6814497407
62,2019-04-02,1127091.027777169
63,2019-04-03,1127080.8340068138
64,2019-04-04,1141841.6779513462
65,2019-04-05,1143612.3433897556
66,2019-04-08,1133079.2989231672
67,2019-04-09,1124522.3507185818
68,2019-04-10,1121885.22242416
69,2019-04-11,1122864.4052289936
70,2019-04-12,1142633.8623961401
71,2019-04-15,1139427.0113734007
72,2019-04-16,1141797.845149697
73,2019-04-17,1143643.5480162192
74,2019-04-18,1142499.9177109275
75,2019-04-22,1142211.3703586978
76,2019-04-23,1144086.8983615108
77,2019-04-24,1142289.0601367229
78,2019-04-25,1138738.1493238606
79,2019-04-26,1138089.1349141337
80,2019-04-29,1138089.1349141337
81,2019-04-30,1138089.1349141337
82,2019-05-01,1136528.4135832344
83,2019-05-02,1134570.7530421405
84,2019-05-03,1137230.0965462243
85,2019-05-06,1136033.8791883728
86,2019-05-07,1118099.6371491915
87,2019-05-08,1119913.6414628555
88,2019-05-09,1115236.4935485711
89,2019-05-10,1119849.7812491579
90,2019-05-13,1090347.7019836283
91,2019-05-14,1100016.2820242883
92,2019-05-15,1104615.1793237426
93,2019-05-16,1117121.2760996297
94,2019-05-17,1114800.2627884138
95,2019-05-20,1111610.874476268
96,2019-05-21,1121314.4897507194
97,2019-05-22,1114057.5061577044
98,2019-05-23,1101372.1777780114
99,2019-05-24,1107969.2186474102
100,2019-05-28,1097659.873915756
101,2019-05-29,1085285.7390953123
102,2019-05-30,1085550.189172942
103,2019-05-31,1069662.559999672
104,2019-06-03,1068891.213977717
105,2019-06-04,1092291.197243078
106,2019-06-05,1100016.5555892077
107,2019-06-06,1109067.0902325336
108,2019-06-07,1118931.8306660443
109,2019-06-10,1122795.7015196616
110,2019-06-11,1116505.6232518351
111,2019-06-12,1112084.5629018343
112,2019-06-13,1121342.6142949427
113,2019-06-14,1119830.6740574478
114,2019-06-17,1125087.85876461
115,2019-06-18,1146790.3851442598
116,2019-06-19,1146517.5205095876
117,2019-06-20,1159987.5374561164
118,2019-06-21,1157029.2145640473
119,2019-06-24,1155814.9036030238
120,2019-06-25,1147125.4432705438
121,2019-06-26,1150493.8578692712
122,2019-06-27,1142717.0432671518
123,2019-06-28,1146149.2825052552
124,2019-07-01,1147578.723875711
125,2019-07-02,1146056.8791012436
126,2019-07-03,1152532.8651162535
127,2019-07-05,1151159.2078597557
128,2019-07-08,1143933.9592148685
129,2019-07-09,1143465.8560167395
130,2019-07-10,1148067.4104106296
131,2019-07-11,1162766.1855920514
132,2019-07-12,1176213.022282332
133,2019-07-15,1172939.8816384166
134,2019-07-16,1172477.4321590527
135,2019-07-17,1169504.6633451106
136,2019-07-18,1161698.6367517177
137,2019-07-19,1165401.4458416428
138,2019-07-22,1165518.201268538
139,2019-07-23,1173656.2031403305
140,2019-07-24,1168056.2571709552
141,2019-07-25,1158593.0530457522
142,2019-07-26,1155704.5047314512
143,2019-07-29,1158531.7921421444
144,2019-07-30,1161452.628933633
145,2019-07-31,1143598.1828656564
146,2019-08-01,1129565.047409
147,2019-08-02,1128165.9475204505
148,2019-08-05,1097994.6155340865
149,2019-08-06,1111162.2746873999
150,2019-08-07,1102041.7596410627
151,2019-08-08,1121389.5475021175
152,2019-08-09,1120070.6583729086
153,2019-08-12,1103318.4031575893
154,2019-08-13,1114818.1198936682
155,2019-08-14,1076436.708423884
156,2019-08-15,1078663.2534802342
157,2019-08-16,1091971.4650461546
158,2019-08-19,1101852.9089280954
159,2019-08-20,1096213.165936014
160,2019-08-21,1108189.9102219231
161,2019-08-22,1115914.6778675262
162,2019-08-23,1092574.8655814943
163,2019-08-26,1102665.9984641364
164,2019-08-27,1094747.3490643282
165,2019-08-28,1108962.3841233267
166,2019-08-29,1123176.534473052
167,2019-08-30,1125963.0358804183
168,2019-09-03,1107816.2417420733
169,2019-09-04,1116086.6193508306
170,2019-09-05,1131920.5277423775
171,2019-09-06,1136686.718472539
172,2019-09-09,1138545.7654998244
173,2019-09-10,1147069.8424162867
174,2019-09-11,1158571.015142296
175,2019-09-12,1158535.6444564017
176,2019-09-13,1165604.7244110538
177,2019-09-16,1161134.8540281593
178,2019-09-17,1162499.3625220486
179,2019-09-18,1164038.6960372622
180,2019-09-19,1155834.395693803
181,2019-09-20,1147882.1889733707
182,2019-09-23,1147933.7885649845
183,2019-09-24,1143604.5776592754
184,2019-09-25,1150548.4610272825
185,2019-09-26,1144003.4253571883
186,2019-09-27,1138784.3606427081
187,2019-09-30,1137604.234787706
188,2019-10-01,1118820.56553112
189,2019-10-02,1095935.2568457297
190,2019-10-03,1100253.6834572484
191,2019-10-04,1113107.8037666816
192,2019-10-07,1109958.6208077457
193,2019-10-08,1096457.915155847
194,2019-10-09,1103858.0659512295
195,2019-10-10,1108713.4574823824
196,2019-10-11,1123844.9689571406
197,2019-10-14,1123612.4203564865
198,2019-10-15,1129817.3991948664
199,2019-10-16,1129779.7482349218
200,2019-10-17,1134466.9667594733
201,2019-10-18,1112047.0933035968
202,2019-10-21,1111482.4448366833
