date,VNM,STB,HPG
2019-01-02,100.0,100.0,-100.0
2019-01-03,99.99995422363281,67.90750122070312,100.0
2019-01-04,99.99854278564453,64.69266510009766,98.7415542602539
2019-01-07,99.86148834228516,-86.32228088378906,-100.0
2019-01-08,99.97895812988281,-55.2291259765625,78.07327270507812
2019-01-09,99.9139175415039,94.74443054199219,89.88935089111328
2019-01-10,99.96581268310547,50.65224075317383,100.0
2019-01-11,99.97552490234375,95.27466583251953,-99.97686004638672
2019-01-14,99.97628021240234,98.721435546875,30.03017807006836
2019-01-15,99.98173522949219,99.82832336425781,23.94920539855957
2019-01-16,99.98960876464844,98.20280456542969,100.0
2019-01-17,99.98755645751953,-54.49464797973633,100.0
2019-01-18,99.99506378173828,-62.74684143066406,-99.97377014160156
2019-01-21,99.99775695800781,-61.858551025390625,99.9999771118164
2019-01-22,99.99749755859375,-77.10418701171875,99.83599090576172
2019-01-23,99.99530029296875,-66.11427307128906,-99.14315032958984
2019-01-24,99.99964141845703,-73.04718780517578,99.99728393554688
2019-01-25,99.9990463256836,-33.164024353027344,-39.20258331298828
2019-01-28,99.99995422363281,-90.28123474121094,99.93379974365234
2019-01-29,99.99911499023438,1.0862231254577637,-99.9720687866211
2019-01-30,100.0,99.98037719726562,100.0
2019-01-31,100.0,99.9830093383789,80.86557006835938
2019-02-01,99.99957275390625,95.04723358154297,99.99718475341797
2019-02-11,100.0,-100.0,-99.96502685546875
2019-02-12,100.0,100.0,-99.9952163696289
2019-02-13,100.0,100.0,99.99906921386719
2019-02-14,100.0,100.0,-99.11009979248047
2019-02-15,100.0,99.9825210571289,-99.99993896484375
2019-02-18,100.0,83.46926879882812,-100.0
2019-02-19,100.0,99.44789123535156,-13.511419296264648
2019-02-20,99.9999771118164,67.2578125,75.16429138183594
2019-02-21,99.99993133544922,98.26712799072266,-99.98749542236328
2019-02-22,99.99995422363281,-7.4224114418029785,-98.83656311035156
2019-02-25,100.0,98.67594146728516,-100.0
2019-02-26,100.0,93.38538360595703,99.60426330566406
2019-02-27,100.0,97.26087951660156,99.99974060058594
2019-02-28,100.0,-62.635223388671875,-100.0
2019-03-01,100.0,-61.979251861572266,-93.386474609375
2019-03-04,99.9999771118164,43.556617736816406,-99.99998474121094
2019-03-05,99.99996185302734,53.349708557128906,-23.373979568481445
2019-03-06,99.99995422363281,-56.61818313598633,99.91893768310547
2019-03-07,99.9998550415039,28.15021324157715,-99.9996109008789
2019-03-08,99.99980926513672,-54.995208740234375,-99.99137115478516
2019-03-11,99.9999771118164,-75.44088745117188,59.02901840209961
2019-03-12,99.99984741210938,99.99947357177734,-99.99999237060547
2019-03-13,100.0,99.92971801757812,82.35643768310547
2019-03-14,99.99998474121094,-16.905515670776367,-99.99665832519531
2019-03-15,100.0,99.61910247802734,99.97796630859375
2019-03-18,99.9999771118164,99.89613342285156,-99.99996185302734
2019-03-19,99.9999771118164,90.48741912841797,-98.35680389404297
2019-03-20,99.9998779296875,65.56970977783203,-100.0
2019-03-21,99.9998550415039,-38.73358917236328,-98.58861541748047
2019-03-22,99.9998550415039,-85.5831527709961,100.0
2019-03-25,99.99097442626953,-52.646827697753906,-95.3515853881836
2019-03-26,99.98876953125,-65.74613952636719,99.98870086669922
2019-03-27,99.9703140258789,-50.982093811035156,-99.69664764404297
2019-03-28,99.99613952636719,-67.34690856933594,-38.33595657348633
2019-03-29,99.99961853027344,-4.621249198913574,-99.99977111816406
2019-04-01,99.99972534179688,96.0063705444336,41.059993743896484
2019-04-02,99.99995422363281,99.25151062011719,-94.34796142578125
2019-04-03,100.0,88.90412902832031,99.09613037109375
2019-04-04,100.0,98.89070892333984,-99.99595642089844
2019-04-05,100.0,99.99845123291016,-99.99958038330078
2019-04-08,100.0,99.64933776855469,100.0
2019-04-09,100.0,-98.00314331054688,99.94664001464844
2019-04-10,99.9999771118164,97.16062927246094,-100.0
2019-04-11,99.9999771118164,98.64521026611328,-99.6494140625
2019-04-12,99.9999771118164,99.92430114746094,-99.9997329711914
2019-04-16,99.99998474121094,99.9944076538086,-99.99999237060547
2019-04-17,100.0,13.139891624450684,-100.0
2019-04-18,100.0,-99.9976806640625,-99.05795288085938
2019-04-19,100.0,47.03248596191406,-99.99043273925781
2019-04-22,99.99998474121094,75.30651092529297,-100.0
2019-04-23,99.99995422363281,85.86660766601562,91.38255310058594
2019-04-24,99.99990844726562,1.4935851097106934,-100.0
2019-04-25,99.99993896484375,99.90440368652344,99.9999771118164
2019-04-26,99.99991607666016,100.0,-100.0
2019-05-02,99.9999771118164,99.99989318847656,-99.99159240722656
2019-05-03,99.99995422363281,39.14651870727539,-99.94937133789062
2019-05-06,99.99993133544922,93.02359008789062,-99.99679565429688
2019-05-07,99.99959564208984,97.3277587890625,-100.0
2019-05-08,99.99952697753906,99.22723388671875,-99.99789428710938
2019-05-09,99.99993133544922,68.66578674316406,-100.0
2019-05-10,99.9998550415039,74.87549591064453,13.886201858520508
2019-05-13,99.9998779296875,97.71479034423828,-100.0
2019-05-14,99.99995422363281,99.98297882080078,-99.99998474121094
2019-05-15,99.99995422363281,99.99777221679688,100.0
2019-05-16,99.99998474121094,68.29695892333984,99.99362182617188
2019-05-17,99.99996185302734,43.826663970947266,-99.98394012451172
2019-05-20,99.9998779296875,99.36158752441406,73.39146423339844
2019-05-21,100.0,99.99995422363281,-100.0
2019-05-22,100.0,35.21114730834961,-100.0
2019-05-23,99.9999771118164,99.99977111816406,-99.80723571777344
