date,STB,SBT,SBT
2019-01-02,100.0,97.59508514404297,-100.0
2019-01-03,100.0,-85.03472900390625,-100.0
2019-01-04,100.0,57.41379165649414,99.92200469970703
2019-01-07,99.41401672363281,-99.64753723144531,99.99444580078125
2019-01-08,-99.9881362915039,-99.99972534179688,99.142333984375
2019-01-09,-99.99999237060547,-99.99998474121094,100.0
2019-01-10,-99.99126434326172,-99.9996566772461,99.99934387207031
2019-01-11,-99.22465515136719,-97.86852264404297,99.71951293945312
2019-01-14,-98.81900787353516,-99.50331115722656,99.99935913085938
2019-01-15,-98.9406967163086,-95.35515594482422,100.0
2019-01-16,-99.54802703857422,-77.93168640136719,100.0
2019-01-17,-99.81342315673828,-97.33921813964844,99.86186218261719
2019-01-18,-99.9679946899414,-93.31391906738281,100.0
2019-01-21,-99.9217300415039,-39.35350036621094,-99.99982452392578
2019-01-22,-99.99981689453125,-100.0,100.0
2019-01-23,-99.96106719970703,-11.487531661987305,-99.88636016845703
2019-01-24,-99.99970245361328,-99.99999237060547,100.0
2019-01-25,-99.96908569335938,86.00129699707031,100.0
2019-01-28,-99.99068450927734,59.01048278808594,100.0
2019-01-29,-99.91230773925781,96.41907501220703,99.99406433105469
2019-01-30,-99.72733306884766,99.9949951171875,-100.0
2019-01-31,-97.5166015625,99.99995422363281,-99.99844360351562
2019-02-01,-72.92015075683594,99.9927978515625,-99.99380493164062
2019-02-11,-91.76289367675781,100.0,-100.0
2019-02-12,-39.2103271484375,100.0,-100.0
2019-02-13,-21.455501556396484,100.0,-100.0
2019-02-14,69.28076934814453,100.0,-99.30194091796875
2019-02-15,82.30660247802734,100.0,-99.7353286743164
2019-02-18,74.50086212158203,100.0,-100.0
2019-02-19,81.54523468017578,100.0,-100.0
2019-02-20,63.45507049560547,100.0,-100.0
2019-02-21,36.56779479980469,100.0,-100.0
2019-02-22,61.064697265625,100.0,-100.0
2019-02-25,94.30580139160156,100.0,-100.0
2019-02-26,85.08871459960938,100.0,-100.0
2019-02-27,80.43429565429688,100.0,-100.0
2019-02-28,39.16070556640625,100.0,-99.99974822998047
2019-03-01,9.645139694213867,100.0,-99.99235534667969
2019-03-04,55.4784049987793,100.0,-99.90126037597656
2019-03-05,51.570556640625,100.0,-100.0
2019-03-06,21.671056747436523,100.0,-100.0
2019-03-07,14.615893363952637,100.0,-100.0
2019-03-08,-16.941856384277344,100.0,-99.99993133544922
2019-03-11,-34.03779220581055,100.0,-99.99950408935547
2019-03-12,93.32673645019531,100.0,-100.0
2019-03-13,95.76473236083984,100.0,-100.0
2019-03-14,91.5720443725586,100.0,-100.0
2019-03-15,85.04231262207031,100.0,-99.99999237060547
2019-03-18,87.23932647705078,100.0,84.03407287597656
2019-03-19,71.52951049804688,100.0,-99.99800109863281
2019-03-20,-28.66574478149414,100.0,-99.9967041015625
2019-03-21,-49.61178970336914,100.0,-99.99942016601562
2019-03-22,-85.81549835205078,100.0,-90.64759063720703
2019-03-25,-99.01606750488281,100.0,-100.0
2019-03-26,-98.00296783447266,100.0,-100.0
2019-03-27,-97.3539047241211,100.0,-100.0
2019-03-28,-97.53631591796875,100.0,-99.99999237060547
2019-03-29,-74.85858154296875,100.0,-99.99949645996094
2019-04-01,-37.65455627441406,100.0,99.14338684082031
2019-04-02,77.52526092529297,100.0,-100.0
2019-04-03,92.30662536621094,100.0,-100.0
2019-04-04,80.36668395996094,100.0,-100.0
2019-04-05,93.86892700195312,100.0,-100.0
2019-04-08,94.70784759521484,100.0,-100.0
2019-04-09,96.53134155273438,100.0,-99.96994018554688
2019-04-10,64.45515441894531,100.0,-100.0
