date,FPT,VNM,SBT
2019-01-02,-22.8914852142334,-57.07166290283203,-50.51206970214844
2019-01-03,-69.3184585571289,-73.06025695800781,-81.18194580078125
2019-01-04,-78.04901885986328,-86.374267578125,-44.561092376708984
2019-01-07,0.542151927947998,-64.96774291992188,21.12230110168457
2019-01-08,56.459999084472656,-94.98573303222656,-87.74297332763672
2019-01-09,68.9761962890625,-53.96173095703125,-87.15922546386719
2019-01-10,-90.8995361328125,-53.07090377807617,-90.23771667480469
2019-01-11,-37.4736328125,-92.97391510009766,-36.49005126953125
2019-01-14,-79.15736389160156,-53.879119873046875,-96.53295135498047
2019-01-15,-75.368408203125,-49.17271041870117,-95.41346740722656
2019-01-16,-85.08721923828125,-88.29129791259766,-67.33155059814453
2019-01-17,-56.50766372680664,-90.4170913696289,-42.965484619140625
2019-01-18,-23.639095306396484,-90.95835876464844,-75.4665756225586
2019-01-21,-86.12108612060547,-69.17156219482422,-93.56953430175781
2019-01-22,-98.33815002441406,-38.687782287597656,-55.184383392333984
2019-01-23,-43.919776916503906,-11.871075630187988,-95.0635986328125
2019-01-24,0.0627279281616211,-70.30561065673828,-75.53003692626953
2019-01-25,-53.397708892822266,-84.04783630371094,-82.35073852539062
2019-01-28,-96.93661499023438,-78.89423370361328,-25.529706954956055
2019-01-29,-66.87821960449219,-87.67245483398438,-87.35513305664062
2019-01-30,-88.66343688964844,-85.75314331054688,-7.843494415283203
2019-01-31,-93.48560333251953,-83.83883666992188,-14.805662155151367
2019-02-01,-94.05699920654297,-73.03235626220703,-79.66734313964844
2019-02-11,-95.3026123046875,-80.68377685546875,-67.45345306396484
2019-02-12,29.119813919067383,-87.06077575683594,-65.50196075439453
2019-02-13,-86.983154296875,-75.30103302001953,68.15296173095703
2019-02-14,-96.43820190429688,-91.93907165527344,-83.65269470214844
2019-02-15,-98.24654388427734,-0.17088651657104492,-84.1229476928711
2019-02-18,-85.94924926757812,-75.95213317871094,-48.373138427734375
2019-02-19,-97.98271942138672,-79.67706298828125,-42.50471115112305
2019-02-20,-93.13522338867188,-78.11160278320312,-89.08570098876953
2019-02-21,-96.36215209960938,-70.53357696533203,-8.196348190307617
2019-02-22,-91.80529022216797,23.961448669433594,-50.52927017211914
2019-02-25,-41.48738479614258,22.4083309173584,27.270233154296875
2019-02-26,-86.67034149169922,79.77626037597656,-2.5751113891601562
2019-02-27,91.70577239990234,61.36470031738281,76.61800384521484
2019-02-28,96.23103332519531,97.79534149169922,81.93123626708984
2019-03-01,90.86278533935547,64.90245056152344,98.43161010742188
2019-03-04,70.9015121459961,95.99838256835938,-1.9500911235809326
2019-03-05,97.0275650024414,65.41361999511719,-4.405879974365234
2019-03-06,95.81046295166016,68.7814712524414,96.42789459228516
2019-03-07,95.51785278320312,90.64366912841797,-82.45052337646484
2019-03-08,95.70833587646484,-90.29562377929688,48.720157623291016
2019-03-11,91.23910522460938,70.55375671386719,66.9340591430664
2019-03-12,86.41552734375,90.46656036376953,-62.736202239990234
2019-03-13,95.60551452636719,84.65792083740234,78.25762939453125
2019-03-14,92.02886962890625,81.19673919677734,57.485008239746094
