date,VIC,REE,VIC
2019-01-02,100.0,-100.0,-100.0
2019-01-03,99.84677124023438,-99.9945068359375,-99.99998474121094
2019-01-04,99.88644409179688,-99.96966552734375,-94.71199798583984
2019-01-07,19.2629337310791,-99.21419525146484,-99.03346252441406
2019-01-08,95.47216796875,-96.633544921875,-99.99881744384766
2019-01-09,99.87491607666016,-99.9999771118164,-99.96212768554688
2019-01-10,99.92733001708984,33.79798126220703,99.58941650390625
2019-01-11,51.480865478515625,-100.0,-100.0
2019-01-14,-91.24169158935547,-90.37591552734375,99.99604034423828
2019-01-15,-97.4881362915039,99.99957275390625,-97.3231201171875
2019-01-16,100.0,-100.0,-99.99998474121094
2019-01-17,99.99601745605469,-99.82874298095703,90.04039764404297
2019-01-18,-99.99999237060547,-99.89630889892578,-100.0
2019-01-21,100.0,-100.0,-100.0
2019-01-22,99.99998474121094,-99.9975814819336,-99.99134826660156
2019-01-23,99.9999771118164,-99.65437316894531,100.0
2019-01-24,72.91991424560547,-99.41263580322266,47.76485061645508
2019-01-25,84.44800567626953,-99.99940490722656,99.99967956542969
2019-01-28,99.65254974365234,-98.84952545166016,-99.99742126464844
2019-01-29,95.15998077392578,-99.99198150634766,99.9999771118164
2019-01-30,99.98353576660156,-100.0,-100.0
2019-01-31,99.9913330078125,-100.0,-99.99993133544922
2019-02-01,97.71144104003906,-66.28085327148438,-99.98562622070312
2019-02-11,99.99633026123047,-100.0,100.0
2019-02-12,99.99665832519531,-100.0,100.0
2019-02-13,99.9970703125,-100.0,-100.0
2019-02-14,99.97346496582031,-100.0,-100.0
2019-02-15,99.56573486328125,-100.0,-100.0
2019-02-18,93.7631607055664,-100.0,-100.0
2019-02-19,94.05944061279297,-100.0,-100.0
2019-02-20,92.43756866455078,-100.0,-100.0
2019-02-21,93.97628021240234,-100.0,-98.15811157226562
2019-02-22,90.9603271484375,-100.0,-99.8277359008789
2019-02-25,97.77471923828125,-100.0,-100.0
2019-02-26,-93.09342956542969,-100.0,99.54995727539062
2019-02-27,-89.75906372070312,-99.99736022949219,-100.0
2019-02-28,100.0,-100.0,-100.0
2019-03-01,57.88240432739258,-99.99949645996094,99.99983215332031
2019-03-04,99.8994369506836,-99.99998474121094,-99.9999771118164
2019-03-05,93.23189544677734,-99.99994659423828,99.99978637695312
2019-03-06,-15.489822387695312,-99.99917602539062,-99.99998474121094
2019-03-07,100.0,-100.0,14.437508583068848
2019-03-08,-99.5555191040039,-99.94148254394531,-99.62371826171875
2019-03-11,100.0,-100.0,-100.0
2019-03-12,88.38532257080078,-100.0,-99.99979400634766
2019-03-13,99.87971496582031,-100.0,-21.678144454956055
2019-03-14,99.85587310791016,-100.0,16.738759994506836
2019-03-15,-99.60098266601562,-100.0,-99.69246673583984
2019-03-18,100.0,-100.0,-100.0
2019-03-19,-99.99996185302734,-99.99998474121094,-4.37038516998291
2019-03-20,100.0,-100.0,-100.0
2019-03-21,100.0,-99.99954986572266,-29.21994972229004
2019-03-22,99.05526733398438,-99.9992446899414,94.71653747558594
2019-03-25,99.57051086425781,-99.65301513671875,99.98851776123047
2019-03-26,-61.63472366333008,-99.72550964355469,95.87747192382812
2019-03-27,49.688232421875,-75.28886413574219,-99.99790954589844
2019-03-28,100.0,-100.0,97.41873931884766
2019-03-29,100.0,90.4427261352539,-95.89346313476562
2019-04-01,99.99516296386719,-99.9997329711914,100.0
2019-04-02,77.15523529052734,-100.0,-99.98290252685547
2019-04-03,99.9063949584961,-100.0,-99.9913330078125
2019-04-04,99.9959945678711,-100.0,99.9999771118164
2019-04-05,99.91773223876953,-100.0,-100.0
2019-04-08,99.66845703125,-100.0,-99.99549865722656
2019-04-09,99.79598236083984,-100.0,99.99880981445312
2019-04-10,99.67687225341797,-100.0,-100.0
2019-04-11,99.6876220703125,-100.0,-99.99978637695312
2019-04-12,92.18931579589844,-100.0,-100.0
2019-04-16,78.54447174072266,-100.0,-99.99998474121094
2019-04-17,97.64752197265625,-100.0,-99.99391174316406
2019-04-18,99.1773452758789,-100.0,99.9999771118164
2019-04-19,37.49883270263672,-100.0,-37.598228454589844
2019-04-22,-85.6556167602539,-100.0,98.60369873046875
2019-04-23,-61.4858512878418,-99.96428680419922,96.61445617675781
