date,HPG,REE,REE
2019-01-02,100.0,100.0,-100.0
2019-01-03,100.0,100.0,-100.0
2019-01-04,99.98995971679688,100.0,-98.94127655029297
2019-01-07,100.0,-99.99999237060547,-99.9999771118164
2019-01-08,-99.9999771118164,100.0,-99.99994659423828
2019-01-09,100.0,13.487482070922852,-70.1645278930664
2019-01-10,-99.9998550415039,99.99703979492188,99.99998474121094
2019-01-11,99.99728393554688,100.0,-99.99996948242188
2019-01-14,-98.08575439453125,100.0,-99.98297882080078
2019-01-15,-99.99842071533203,100.0,-99.99604034423828
2019-01-16,-99.99848937988281,100.0,-100.0
2019-01-17,41.40250778198242,100.0,-100.0
2019-01-18,98.5777587890625,100.0,-99.99999237060547
2019-01-21,-55.83070373535156,100.0,-99.99995422363281
2019-01-22,100.0,100.0,-99.99996185302734
2019-01-23,99.98798370361328,100.0,-99.99998474121094
2019-01-24,99.99995422363281,100.0,-99.99983215332031
2019-01-25,100.0,100.0,-100.0
2019-01-28,100.0,100.0,-100.0
2019-01-29,99.9823226928711,100.0,-99.99971771240234
2019-01-30,97.37113952636719,100.0,-99.99996185302734
2019-01-31,-99.6888427734375,100.0,-99.99996185302734
2019-02-01,-99.93316650390625,100.0,-99.99864959716797
2019-02-11,77.03766632080078,100.0,-99.99998474121094
2019-02-12,-100.0,100.0,-100.0
2019-02-13,-99.9997787475586,100.0,-100.0
2019-02-14,-99.9999771118164,100.0,-99.99999237060547
2019-02-15,99.99998474121094,100.0,-100.0
2019-02-18,99.9999771118164,100.0,-99.05851745605469
2019-02-19,-99.95964813232422,100.0,-100.0
2019-02-20,2.2050023078918457,100.0,-99.99971008300781
2019-02-21,-99.9838638305664,100.0,-100.0
2019-02-22,99.99952697753906,100.0,-99.99495697021484
2019-02-25,99.99974822998047,100.0,-99.99998474121094
2019-02-26,99.99571228027344,100.0,-97.70740509033203
2019-02-27,85.98703002929688,100.0,-100.0
2019-02-28,-99.99998474121094,100.0,-99.99201202392578
2019-03-01,99.99773406982422,100.0,-100.0
2019-03-04,99.99991607666016,100.0,-99.99982452392578
2019-03-05,99.99998474121094,100.0,-99.8698959350586
2019-03-06,-99.99998474121094,100.0,-100.0
2019-03-07,-99.981201171875,100.0,-100.0
2019-03-08,98.73841094970703,100.0,-99.99949645996094
2019-03-11,98.24397277832031,100.0,-99.99998474121094
2019-03-12,100.0,100.0,-100.0
2019-03-13,52.93955993652344,100.0,-100.0
2019-03-14,-99.99989318847656,100.0,-99.99994659423828
2019-03-15,-98.35669708251953,100.0,-99.9531478881836
2019-03-18,-99.97015380859375,100.0,-99.99971771240234
2019-03-19,-65.93181610107422,100.0,-100.0
2019-03-20,99.99287414550781,100.0,99.6939697265625
2019-03-21,99.86088562011719,100.0,-100.0
2019-03-22,7.7108025550842285,100.0,-99.99999237060547
2019-03-25,-100.0,100.0,-99.99999237060547
2019-03-26,98.63803100585938,100.0,-99.99999237060547
2019-03-27,-98.3089828491211,100.0,-100.0
2019-03-28,-99.99932098388672,100.0,-100.0
2019-03-29,-100.0,100.0,-100.0
2019-04-01,99.89289093017578,100.0,-100.0
2019-04-02,99.9876708984375,100.0,-99.97764587402344
2019-04-03,-100.0,100.0,-100.0
2019-04-04,99.07069396972656,100.0,-100.0
2019-04-05,-99.9994125366211,100.0,-99.99998474121094
2019-04-08,-100.0,100.0,-100.0
2019-04-09,-99.99962615966797,100.0,99.99580383300781
2019-04-10,99.6224136352539,100.0,-100.0
2019-04-11,99.99971008300781,100.0,-99.97930908203125
2019-04-12,-79.03070068359375,100.0,-100.0
2019-04-16,100.0,100.0,-100.0
2019-04-17,100.0,100.0,-99.58970642089844
2019-04-18,100.0,100.0,-100.0
2019-04-19,98.25782775878906,100.0,-99.99856567382812
2019-04-22,95.55451965332031,100.0,-97.08343505859375
2019-04-23,100.0,100.0,-99.98473358154297
2019-04-24,100.0,100.0,99.9092788696289
2019-04-25,99.99156188964844,100.0,-99.9992446899414
2019-04-26,-97.63157653808594,100.0,-100.0
2019-05-02,-99.99996185302734,100.0,4.3228864669799805
2019-05-03,100.0,100.0,-99.15760040283203
2019-05-06,-74.58625793457031,100.0,100.0
2019-05-07,100.0,100.0,79.3712158203125
2019-05-08,100.0,100.0,-99.36636352539062
2019-05-09,100.0,100.0,-100.0
2019-05-10,99.99871063232422,100.0,-97.93756103515625
2019-05-13,-84.69329833984375,100.0,-99.99960327148438
2019-05-14,100.0,100.0,-52.442996978759766
2019-05-15,-99.45096588134766,100.0,-99.88685607910156
2019-05-16,97.96617126464844,100.0,-100.0
2019-05-17,-96.99639892578125,100.0,99.99978637695312
2019-05-20,99.99967956542969,100.0,-100.0
2019-05-21,99.99488830566406,100.0,-100.0
2019-05-22,99.99861907958984,100.0,44.52371597290039
2019-05-23,-100.0,100.0,-99.4625015258789
2019-05-24,-100.0,100.0,-4.262816905975342
2019-05-27,-100.0,100.0,-99.99713897705078
2019-05-28,-99.98538970947266,100.0,-100.0
2019-05-29,-99.99519348144531,100.0,-100.0
2019-05-30,-99.99999237060547,100.0,-100.0
2019-05-31,100.0,100.0,-100.0
2019-06-03,99.98507690429688,100.0,-99.99999237060547
2019-06-04,-99.99998474121094,100.0,-99.99996185302734
2019-06-05,-60.52620315551758,100.0,-99.99999237060547
2019-06-06,99.9998550415039,100.0,-100.0
2019-06-07,-99.99998474121094,100.0,-100.0
2019-06-10,-82.41107940673828,100.0,-99.99998474121094
2019-06-11,-99.9051742553711,100.0,-100.0
2019-06-12,-99.99971008300781,100.0,-100.0
