date,FPT,SSI,SSI
2019-01-02,-100.0,100.0,-100.0
2019-01-03,-100.0,100.0,-100.0
2019-01-04,-100.0,100.0,-100.0
2019-01-07,-100.0,100.0,99.99964141845703
2019-01-08,-99.99716186523438,100.0,99.8759994506836
2019-01-09,-99.98841094970703,100.0,99.99990844726562
2019-01-10,-99.9875717163086,99.99977111816406,100.0
2019-01-11,-99.98734283447266,100.0,100.0
2019-01-14,-99.99528503417969,99.9999771118164,100.0
2019-01-15,-99.98987579345703,22.4754695892334,100.0
2019-01-16,-99.99381256103516,99.9999771118164,100.0
2019-01-17,-99.9901351928711,99.9979476928711,100.0
2019-01-18,-99.98412322998047,-99.84097290039062,100.0
2019-01-21,-98.42247009277344,99.8086929321289,100.0
2019-01-22,-98.99412536621094,-65.62711334228516,100.0
2019-01-23,-10.76067066192627,-10.765445709228516,100.0
2019-01-24,-99.96135711669922,100.0,100.0
2019-01-25,-99.9998779296875,-99.99960327148438,-99.99874877929688
2019-01-28,-100.0,100.0,-100.0
2019-01-29,-100.0,100.0,-100.0
2019-01-30,-100.0,100.0,-100.0
2019-01-31,-100.0,100.0,99.30280303955078
2019-02-01,-99.99999237060547,99.97549438476562,99.98941040039062
2019-02-11,-99.99999237060547,99.99989318847656,99.9990005493164
2019-02-12,-99.99999237060547,100.0,100.0
2019-02-13,-99.99999237060547,100.0,89.98334503173828
2019-02-14,-99.99999237060547,100.0,100.0
2019-02-15,-99.99999237060547,100.0,100.0
2019-02-18,-100.0,85.74075317382812,100.0
2019-02-19,-99.99999237060547,71.05735778808594,100.0
2019-02-20,-99.99999237060547,100.0,100.0
2019-02-21,-99.99999237060547,100.0,99.99932861328125
2019-02-22,-99.99999237060547,-99.99749755859375,99.99990844726562
2019-02-25,-99.99955749511719,-99.98780822753906,100.0
2019-02-26,-99.9935073852539,100.0,99.9999771118164
2019-02-27,-99.97086334228516,100.0,-99.68914031982422
2019-02-28,-99.99969482421875,99.99996185302734,100.0
2019-03-01,-99.99952697753906,100.0,100.0
2019-03-04,-99.99955749511719,45.66592025756836,99.99995422363281
2019-03-05,-99.99967193603516,99.99876403808594,99.99932098388672
2019-03-06,-99.99967193603516,100.0,100.0
2019-03-07,-99.99954986572266,100.0,-96.45079803466797
2019-03-08,-100.0,99.99996185302734,100.0
2019-03-11,-100.0,99.99998474121094,100.0
2019-03-12,-99.99999237060547,99.99998474121094,99.9989242553711
2019-03-13,-99.99999237060547,100.0,91.87689208984375
2019-03-14,-100.0,99.9999771118164,100.0
2019-03-15,-100.0,100.0,100.0
2019-03-18,-100.0,100.0,100.0
2019-03-19,-100.0,100.0,100.0
2019-03-20,-100.0,100.0,100.0
2019-03-21,-99.99999237060547,100.0,100.0
2019-03-22,-100.0,100.0,99.99264526367188
2019-03-25,-100.0,100.0,100.0
2019-03-26,-100.0,100.0,100.0
2019-03-27,-100.0,100.0,100.0
2019-03-28,-99.99999237060547,100.0,100.0
2019-03-29,-99.99999237060547,100.0,100.0
2019-04-01,-100.0,100.0,100.0
2019-04-02,-100.0,100.0,100.0
2019-04-03,-100.0,100.0,99.9979019165039
2019-04-04,-100.0,100.0,100.0
2019-04-05,-100.0,100.0,100.0
2019-04-08,-100.0,100.0,99.78599548339844
2019-04-09,-100.0,100.0,94.9402084350586
2019-04-10,-100.0,100.0,98.89450073242188
2019-04-11,-100.0,100.0,100.0
2019-04-12,-100.0,100.0,100.0
2019-04-16,-100.0,100.0,99.99935913085938
2019-04-17,-99.99999237060547,100.0,100.0
2019-04-18,-99.99999237060547,100.0,100.0
2019-04-19,-99.99999237060547,100.0,100.0
2019-04-22,-100.0,100.0,100.0
