,0
Annual return,0.12257447228558771
Cumulative returns,0.2480894931366624
Annual volatility,0.21275631664051195
Sharpe ratio,0.6513365913704879
Calmar ratio,0.5206443407287554
Stability,0.05636218671342375
Max drawdown,-0.23542841570892326
Omega ratio,1.1344292418864528
Sortino ratio,0.9141701377317175
Skew,
Kurtosis,
Tail ratio,1.010879119067096
Daily value at risk,-0.02625487170711794
Alpha,0.0
Beta,1.0
