date,SSI,STB,FPT
2019-01-02,-100.0,100.0,-100.0
2019-01-03,-100.0,100.0,-100.0
2019-01-04,-100.0,100.0,-100.0
2019-01-07,-94.64330291748047,100.0,-100.0
2019-01-08,99.9734878540039,100.0,-100.0
2019-01-09,99.99756622314453,100.0,-100.0
2019-01-10,100.0,-99.99998474121094,-100.0
2019-01-11,-42.618370056152344,-99.99984741210938,-100.0
2019-01-14,100.0,100.0,-100.0
2019-01-15,100.0,-99.99981689453125,-100.0
2019-01-16,100.0,-99.99968719482422,-100.0
2019-01-17,-54.34461212158203,-99.99610137939453,-39.09880065917969
2019-01-18,-99.99732971191406,100.0,-100.0
2019-01-21,-100.0,100.0,-100.0
2019-01-22,100.0,100.0,-100.0
2019-01-23,100.0,91.60467529296875,-100.0
2019-01-24,99.99775695800781,-99.99998474121094,-100.0
2019-01-25,100.0,-99.9999771118164,-100.0
2019-01-28,-99.55634307861328,-99.99974822998047,-100.0
2019-01-29,-100.0,100.0,-100.0
2019-01-30,-100.0,100.0,-100.0
2019-01-31,-99.99999237060547,100.0,-100.0
2019-02-01,99.99012756347656,100.0,-100.0
2019-02-11,100.0,100.0,-100.0
2019-02-12,100.0,-100.0,-100.0
2019-02-13,100.0,-100.0,-100.0
2019-02-14,100.0,-100.0,-100.0
2019-02-15,100.0,-100.0,-100.0
2019-02-18,99.99446868896484,-100.0,-100.0
2019-02-19,99.9979248046875,-100.0,-99.89354705810547
2019-02-20,100.0,-100.0,-21.759151458740234
2019-02-21,100.0,-100.0,-100.0
2019-02-22,36.557342529296875,-100.0,-100.0
2019-02-25,100.0,-100.0,-62.51127624511719
2019-02-26,-99.98625946044922,-100.0,-100.0
2019-02-27,-100.0,100.0,-100.0
2019-02-28,-99.99999237060547,100.0,-100.0
2019-03-01,-100.0,100.0,-100.0
2019-03-04,-100.0,100.0,-100.0
2019-03-05,-93.93052673339844,100.0,-100.0
2019-03-06,-98.64667510986328,100.0,-100.0
2019-03-07,99.99483489990234,100.0,-100.0
2019-03-08,100.0,-99.98184204101562,-100.0
2019-03-11,100.0,-100.0,-100.0
2019-03-12,100.0,-100.0,-100.0
2019-03-13,100.0,-100.0,-100.0
2019-03-14,100.0,-100.0,-100.0
2019-03-15,96.69208526611328,-100.0,-99.99917602539062
2019-03-18,100.0,-100.0,-99.67656707763672
2019-03-19,94.8618392944336,-100.0,-100.0
2019-03-20,3.3296942710876465,-99.99984741210938,-100.0
2019-03-21,-99.96431732177734,-99.99885559082031,-94.30419921875
2019-03-22,-100.0,100.0,-100.0
2019-03-25,-100.0,100.0,-100.0
2019-03-26,-17.270200729370117,100.0,-100.0
2019-03-27,-99.99834442138672,100.0,-100.0
2019-03-28,99.84429168701172,100.0,-100.0
2019-03-29,100.0,-29.748046875,-100.0
2019-04-01,100.0,-99.99999237060547,-100.0
2019-04-02,-99.45101928710938,-100.0,-100.0
2019-04-03,-100.0,100.0,-100.0
2019-04-04,-100.0,100.0,-100.0
2019-04-05,-100.0,100.0,-100.0
2019-04-08,100.0,100.0,-100.0
2019-04-09,100.0,-57.133750915527344,-100.0
2019-04-10,100.0,-100.0,-100.0
2019-04-11,100.0,-100.0,-99.99998474121094
2019-04-12,99.99996185302734,-100.0,-100.0
2019-04-16,100.0,-100.0,-100.0
2019-04-17,-99.99961853027344,-100.0,-100.0
2019-04-18,-100.0,100.0,-100.0
2019-04-19,-100.0,100.0,-100.0
2019-04-22,-100.0,100.0,-100.0
2019-04-23,-99.99797058105469,100.0,-100.0
2019-04-24,99.99993896484375,100.0,-100.0
2019-04-25,100.0,99.98207092285156,-100.0
2019-04-26,100.0,-100.0,-100.0
