date,SBT,SSI,STB
2019-01-02,100.0,-100.0,-100.0
2019-01-03,100.0,-100.0,-100.0
2019-01-04,100.0,-100.0,-100.0
2019-01-07,100.0,-100.0,-100.0
2019-01-08,100.0,-100.0,-100.0
2019-01-09,100.0,-100.0,-100.0
2019-01-10,100.0,-99.86682891845703,99.99995422363281
2019-01-11,100.0,-47.88557434082031,99.99995422363281
2019-01-14,100.0,-99.94503784179688,99.99995422363281
2019-01-15,100.0,-99.94862365722656,99.99996185302734
2019-01-16,100.0,-99.2125473022461,99.9999771118164
2019-01-17,100.0,-98.30944061279297,99.9999771118164
2019-01-18,100.0,-92.51581573486328,100.0
2019-01-21,100.0,-99.8262939453125,100.0
2019-01-22,100.0,-98.01142120361328,100.0
2019-01-23,100.0,-96.51962280273438,100.0
2019-01-24,99.9999771118164,-99.0105972290039,100.0
2019-01-25,99.99996185302734,-99.5096435546875,100.0
2019-01-28,100.0,-98.49190521240234,100.0
2019-01-29,99.99996185302734,-99.67167663574219,100.0
2019-01-30,99.9998550415039,-99.99916076660156,100.0
2019-01-31,99.99983215332031,-99.99961853027344,100.0
2019-02-01,100.0,-99.90599060058594,100.0
2019-02-11,99.99957275390625,-99.9999771118164,100.0
2019-02-12,99.99982452392578,-99.99998474121094,100.0
2019-02-13,99.99983215332031,-99.99998474121094,100.0
2019-02-14,99.99980926513672,-99.99990844726562,100.0
2019-02-15,99.9998550415039,-99.99903106689453,100.0
2019-02-18,99.99991607666016,-99.9985122680664,100.0
2019-02-19,99.99995422363281,-99.99787902832031,100.0
2019-02-20,99.9999771118164,-99.9973373413086,100.0
2019-02-21,99.9999771118164,-99.9941635131836,100.0
2019-02-22,99.9999771118164,-99.99542999267578,100.0
2019-02-25,99.99996185302734,-99.99773406982422,100.0
2019-02-26,99.99993133544922,-99.98115539550781,100.0
2019-02-27,99.99993133544922,-99.95919799804688,100.0
2019-02-28,99.99947357177734,-99.66355895996094,100.0
2019-03-01,99.99949645996094,-99.71592712402344,100.0
2019-03-04,99.99974060058594,-99.8852310180664,100.0
2019-03-05,99.99967956542969,-99.89004516601562,100.0
2019-03-06,99.99925994873047,-99.72464752197266,100.0
2019-03-07,99.99927520751953,-99.7571792602539,100.0
2019-03-08,99.99961853027344,-99.53858184814453,100.0
2019-03-11,99.99974060058594,-99.63854217529297,100.0
2019-03-12,99.9999771118164,-99.99520874023438,100.0
2019-03-13,99.9999771118164,-99.99810028076172,100.0
2019-03-14,99.9999771118164,-99.99694061279297,100.0
2019-03-15,99.99995422363281,-99.99102783203125,100.0
2019-03-18,99.99995422363281,-99.99513244628906,100.0
2019-03-19,99.99993896484375,-99.96854400634766,100.0
2019-03-20,99.99990844726562,-99.8677749633789,100.0
2019-03-21,99.99990844726562,-99.6819839477539,100.0
2019-03-22,99.9999771118164,-99.70344543457031,100.0
2019-03-25,100.0,-99.15888214111328,100.0
2019-03-26,99.99998474121094,-94.05936431884766,100.0
2019-03-27,99.99995422363281,-99.86026000976562,100.0
2019-03-28,99.9999771118164,-96.01254272460938,100.0
2019-03-29,99.99993133544922,-99.83990478515625,100.0
2019-04-01,99.9999771118164,-99.95883178710938,100.0
2019-04-02,99.99996185302734,-99.98579406738281,100.0
2019-04-03,99.99995422363281,-99.99954986572266,100.0
2019-04-04,99.99995422363281,-99.99996185302734,100.0
2019-04-05,99.9999771118164,-99.99984741210938,100.0
2019-04-08,99.9999771118164,-99.9994888305664,100.0
2019-04-09,99.9999771118164,-99.9968490600586,100.0
2019-04-10,99.9999771118164,-99.9312515258789,100.0
2019-04-11,99.99996185302734,-99.93659210205078,100.0
