date,FPT,HPG,STB
2019-01-02,-100.0,-100.0,100.0
2019-01-03,-100.0,-99.99999237060547,100.0
2019-01-04,-100.0,-99.99980926513672,-99.99845886230469
2019-01-07,-100.0,-99.99982452392578,100.0
2019-01-08,-100.0,-99.99860382080078,-99.97611999511719
2019-01-09,-100.0,-99.99971008300781,99.65955352783203
2019-01-10,-100.0,-99.99896240234375,99.99878692626953
2019-01-11,-100.0,-99.99665069580078,-97.59451293945312
2019-01-14,-100.0,-99.9981460571289,99.99964141845703
2019-01-15,-100.0,-99.99202728271484,99.54955291748047
2019-01-16,-100.0,-99.9942626953125,-97.8991470336914
2019-01-17,-100.0,-99.99595642089844,-100.0
2019-01-18,-100.0,-99.99919891357422,-26.01456642150879
2019-01-21,-100.0,-99.99625396728516,99.99995422363281
2019-01-22,-100.0,-99.99111938476562,-99.1146469116211
2019-01-23,-100.0,-99.9972915649414,-99.77173614501953
2019-01-24,-100.0,-99.99876403808594,-98.75086212158203
2019-01-25,-100.0,-99.9997329711914,100.0
2019-01-28,-100.0,-99.998779296875,100.0
2019-01-29,-100.0,-99.88153076171875,100.0
2019-01-30,-100.0,-9.466952323913574,-99.73675537109375
2019-01-31,-100.0,-43.80387496948242,99.99829864501953
2019-02-01,-100.0,-99.42933654785156,-99.95361328125
2019-02-11,-100.0,34.11235809326172,69.47657012939453
2019-02-12,-100.0,-60.246307373046875,98.90789794921875
2019-02-13,-100.0,47.11717224121094,100.0
2019-02-14,-100.0,-95.27942657470703,-99.99091339111328
2019-02-15,-100.0,-79.18656158447266,99.99998474121094
2019-02-18,-100.0,-92.45634460449219,-97.32675170898438
2019-02-19,-100.0,-55.706607818603516,99.9999771118164
2019-02-20,-100.0,-86.23898315429688,-87.42431640625
2019-02-21,-100.0,-74.24495697021484,99.99576568603516
2019-02-22,-100.0,-76.46000671386719,99.94015502929688
2019-02-25,-100.0,-57.814388275146484,-99.98677062988281
2019-02-26,-100.0,-92.91966247558594,-99.9986343383789
2019-02-27,-100.0,-93.21798706054688,100.0
2019-02-28,-100.0,-99.91629791259766,-99.99073791503906
2019-03-01,-100.0,-99.7330551147461,-68.98705291748047
2019-03-04,-100.0,-95.30803680419922,99.99990844726562
2019-03-05,-100.0,-98.43276977539062,-99.97445678710938
2019-03-06,-100.0,-99.51718139648438,-99.79861450195312
2019-03-07,-100.0,-99.67904663085938,99.99783325195312
2019-03-08,-100.0,-99.75963592529297,100.0
2019-03-11,-100.0,-99.8404541015625,97.4268569946289
2019-03-12,-100.0,-16.465770721435547,99.91522216796875
2019-03-13,-100.0,-37.44225311279297,-99.99996185302734
2019-03-14,-100.0,-43.26964569091797,-100.0
2019-03-15,-100.0,-81.36927795410156,100.0
2019-03-18,-100.0,-78.48125457763672,-24.849056243896484
2019-03-19,-100.0,-96.97988891601562,-100.0
2019-03-20,-100.0,-99.44095611572266,100.0
2019-03-21,-100.0,-99.94586944580078,-99.98108673095703
2019-03-22,-100.0,-99.94264221191406,-41.885398864746094
2019-03-25,-100.0,-99.99825286865234,92.90864562988281
2019-03-26,-100.0,-99.99298095703125,-100.0
2019-03-27,-100.0,-99.96945190429688,-100.0
2019-03-28,-100.0,-99.97702026367188,78.44004821777344
2019-03-29,-100.0,-99.64214324951172,-100.0
2019-04-01,-100.0,-98.3479232788086,100.0
2019-04-02,-100.0,-48.591529846191406,100.0
2019-04-03,-100.0,11.336553573608398,100.0
2019-04-04,-100.0,76.894287109375,87.33251190185547
2019-04-05,36.83903121948242,-87.15241241455078,-99.97992706298828
2019-04-08,-100.0,-64.01055908203125,-99.99842071533203
2019-04-09,-100.0,44.485328674316406,100.0
2019-04-10,-100.0,-98.9158935546875,-99.80570983886719
2019-04-11,-100.0,-83.7810287475586,99.484375
2019-04-12,-100.0,20.33165740966797,99.778076171875
2019-04-16,-100.0,-85.7066421508789,-99.9985580444336
2019-04-17,-100.0,84.35549926757812,100.0
2019-04-18,-99.99837493896484,-83.53193664550781,-99.99977111816406
2019-04-19,-100.0,25.26177215576172,-99.9998779296875
2019-04-22,-100.0,-95.12767791748047,-40.94939422607422
2019-04-23,-100.0,-91.2445297241211,99.99073791503906
2019-04-24,-100.0,-81.76049041748047,96.6807861328125
2019-04-25,-100.0,-76.2975845336914,99.95379638671875
2019-04-26,-100.0,-69.74962615966797,99.99990844726562
2019-05-02,-76.16704559326172,98.48967742919922,-100.0
2019-05-03,-98.79747772216797,-45.49522399902344,-100.0
2019-05-06,-100.0,-99.87350463867188,-21.116941452026367
2019-05-07,-100.0,-94.68965148925781,99.24822998046875
2019-05-08,-100.0,-99.26233673095703,-76.1562271118164
2019-05-09,-100.0,-99.703857421875,100.0
2019-05-10,-100.0,-99.9533920288086,99.99756622314453
2019-05-13,-99.93077087402344,-71.70719146728516,-100.0
2019-05-14,-100.0,-91.56275177001953,-22.838401794433594
2019-05-15,-100.0,-80.7337646484375,-100.0
2019-05-16,-100.0,-95.22734832763672,-100.0
2019-05-17,-100.0,-88.81183624267578,100.0
2019-05-20,-100.0,-52.98945999145508,98.3907699584961
2019-05-21,-100.0,-16.986000061035156,99.99990844726562
2019-05-22,-99.98483276367188,-37.620609283447266,-100.0
2019-05-23,-100.0,-87.587158203125,-98.62541198730469
2019-05-24,-100.0,-56.802757263183594,99.66182708740234
2019-05-27,-100.0,-99.63339233398438,-99.99978637695312
2019-05-28,-100.0,-99.21439361572266,-100.0
2019-05-29,-100.0,-99.97657775878906,-100.0
2019-05-30,-100.0,-99.91478729248047,100.0
2019-05-31,-100.0,-99.97041320800781,-100.0
2019-06-03,-100.0,-99.99531555175781,-100.0
2019-06-04,-100.0,-99.99807739257812,-99.98522186279297
2019-06-05,-100.0,-99.9986801147461,100.0
2019-06-06,-100.0,-99.87124633789062,99.9999771118164
2019-06-07,-100.0,-68.52279663085938,100.0
2019-06-10,-100.0,-87.86412048339844,87.67414093017578
2019-06-11,-100.0,-94.93224334716797,-99.99998474121094
2019-06-12,-100.0,-93.537841796875,-99.99980926513672
2019-06-13,-100.0,-99.77668762207031,99.658203125
2019-06-14,-100.0,-99.9465103149414,-99.97085571289062
2019-06-17,-100.0,-99.99761962890625,-90.6832504272461
2019-06-18,-100.0,-99.99829864501953,99.95393371582031
2019-06-19,-100.0,-99.96373748779297,99.99862670898438
2019-06-20,-100.0,-97.0805435180664,100.0
2019-06-21,-100.0,-97.04095458984375,-100.0
2019-06-24,-100.0,-98.38008880615234,48.54446792602539
2019-06-25,-100.0,-24.471641540527344,99.55573272705078
2019-06-26,-100.0,-64.25198364257812,-99.98685455322266
2019-06-27,-100.0,-99.22209167480469,99.9998779296875
2019-06-28,-100.0,-99.9305191040039,-99.99403381347656
2019-07-01,-100.0,-12.645035743713379,100.0
2019-07-02,-100.0,-43.93110275268555,-100.0
2019-07-03,-100.0,-56.305110931396484,99.55687713623047
2019-07-04,-100.0,-71.62142181396484,-99.9999771118164
2019-07-05,-100.0,-90.31877899169922,-99.99996948242188
2019-07-08,-100.0,-96.15031433105469,71.54655456542969
2019-07-09,-100.0,-97.30082702636719,-100.0
2019-07-10,-100.0,-35.46599197387695,99.99957275390625
2019-07-11,-100.0,-87.99494934082031,-32.72275924682617
2019-07-12,-100.0,-84.25212097167969,-99.8526382446289
2019-07-15,-100.0,-20.170766830444336,99.9990005493164
2019-07-16,-100.0,-72.51134490966797,98.40383911132812
2019-07-17,-100.0,-96.67634582519531,-99.74639892578125
