date,VNM,REE,STB
2019-01-02,100.0,100.0,-100.0
2019-01-03,100.0,-100.0,-97.24007415771484
2019-01-04,-75.13639068603516,-99.99711608886719,-94.58061981201172
2019-01-07,100.0,100.0,-100.0
2019-01-08,100.0,-99.99589538574219,-95.9659652709961
2019-01-09,-99.99964141845703,92.32080078125,-77.97544860839844
2019-01-10,100.0,100.0,-100.0
2019-01-11,99.97842407226562,-94.73772430419922,-99.96280670166016
2019-01-14,100.0,-99.95870971679688,-100.0
2019-01-15,100.0,-99.94905090332031,-93.6667251586914
2019-01-16,100.0,-99.99518585205078,-93.20621490478516
2019-01-17,-99.99774169921875,-99.9998550415039,-71.97483825683594
2019-01-18,100.0,100.0,-100.0
2019-01-21,100.0,-99.99979400634766,-83.65888214111328
2019-01-22,-97.21675872802734,-95.79156494140625,-97.37090301513672
2019-01-23,100.0,100.0,-100.0
2019-01-24,100.0,-99.99683380126953,-99.341796875
2019-01-25,47.918365478515625,-98.2306137084961,-96.73326873779297
2019-01-28,100.0,-99.99999237060547,-97.21619415283203
2019-01-29,-100.0,-100.0,-99.85102844238281
2019-01-30,100.0,100.0,-100.0
2019-01-31,100.0,-100.0,-99.99993896484375
2019-02-01,-99.95420837402344,-99.99771881103516,-99.3927001953125
2019-02-11,100.0,100.0,-100.0
2019-02-12,100.0,-100.0,-100.0
2019-02-13,100.0,-100.0,-100.0
2019-02-14,100.0,99.54497528076172,-100.0
2019-02-15,99.92623138427734,-100.0,-100.0
2019-02-18,100.0,-100.0,-99.99998474121094
2019-02-19,100.0,-99.82723236083984,-100.0
2019-02-20,100.0,-99.99999237060547,-99.9998779296875
2019-02-21,-99.99754333496094,-99.99999237060547,-99.99860382080078
2019-02-22,100.0,100.0,-100.0
2019-02-25,100.0,-100.0,99.66275787353516
2019-02-26,100.0,-100.0,-100.0
2019-02-27,100.0,-99.99988555908203,-100.0
2019-02-28,-99.9999771118164,-99.97697448730469,-99.48897552490234
2019-03-01,100.0,100.0,-100.0
2019-03-04,99.98009490966797,-100.0,-99.99990844726562
2019-03-05,-100.0,-99.99091339111328,-100.0
2019-03-06,100.0,100.0,-100.0
2019-03-07,99.9476089477539,-98.89810180664062,-100.0
2019-03-08,-99.97557830810547,-79.54408264160156,-99.91616821289062
2019-03-11,100.0,100.0,-100.0
2019-03-12,99.99016571044922,99.99758911132812,-100.0
2019-03-13,100.0,99.91793823242188,-99.99998474121094
2019-03-14,99.97823333740234,-96.70894622802734,-100.0
2019-03-15,99.99974822998047,-100.0,-99.99998474121094
2019-03-18,99.99974060058594,76.31108856201172,-100.0
2019-03-19,100.0,-99.99044799804688,-94.53177642822266
2019-03-20,-99.9986801147461,-100.0,-99.99974822998047
2019-03-21,100.0,100.0,-100.0
2019-03-22,100.0,97.93925476074219,-99.86932373046875
2019-03-25,100.0,-99.99999237060547,-86.69712829589844
2019-03-26,-99.98652648925781,-99.99999237060547,-95.01847839355469
2019-03-27,100.0,100.0,-100.0
2019-03-28,99.99983215332031,-33.09247589111328,88.91616821289062
2019-03-29,98.20378112792969,-99.99999237060547,-79.97537231445312
2019-04-01,-62.39105987548828,-99.99946594238281,-99.99384307861328
2019-04-02,100.0,100.0,-100.0
2019-04-03,100.0,-99.96373748779297,-100.0
2019-04-04,100.0,94.46284484863281,-99.99916076660156
2019-04-05,100.0,-99.0233154296875,-100.0
2019-04-08,100.0,-96.33377838134766,-100.0
2019-04-09,100.0,-100.0,-100.0
2019-04-10,100.0,-100.0,-99.98051452636719
2019-04-11,99.99995422363281,-100.0,-99.99988555908203
2019-04-12,100.0,-100.0,-99.99998474121094
2019-04-16,100.0,-100.0,-99.99993133544922
2019-04-17,100.0,-99.12126922607422,-99.99909210205078
2019-04-18,99.9998550415039,85.76142883300781,-100.0
2019-04-19,99.99938201904297,-100.0,99.99885559082031
2019-04-22,99.9929428100586,-99.99897003173828,99.48139190673828
2019-04-23,99.99991607666016,-100.0,-99.9996337890625
2019-04-24,-99.92731475830078,-100.0,-99.99919891357422
2019-04-25,100.0,100.0,-100.0
2019-04-26,-24.871862411499023,-100.0,-100.0
2019-05-02,100.0,100.0,-100.0
2019-05-03,-99.57408905029297,-100.0,-100.0
2019-05-06,100.0,100.0,-100.0
2019-05-07,100.0,-99.99769592285156,-99.85802459716797
2019-05-08,99.99995422363281,-99.95519256591797,-100.0
2019-05-09,99.99978637695312,91.48756408691406,5.862092971801758
2019-05-10,99.99990844726562,99.36380004882812,-99.99803161621094
2019-05-13,-99.99983978271484,-100.0,-99.947998046875
2019-05-14,100.0,100.0,-100.0
2019-05-15,0.03237724304199219,-90.14757537841797,-100.0
2019-05-16,91.49188995361328,100.0,-100.0
2019-05-17,99.64582824707031,-85.72119140625,-99.06173706054688
2019-05-20,-99.9330062866211,-99.99854278564453,-99.99998474121094
2019-05-21,100.0,100.0,-100.0
2019-05-22,99.98686218261719,-100.0,-100.0
2019-05-23,100.0,99.9322509765625,-100.0
2019-05-24,100.0,-99.99964141845703,-100.0
2019-05-27,100.0,88.4621353149414,-89.03501892089844
2019-05-28,-97.91124725341797,-99.45541381835938,99.91116333007812
2019-05-29,100.0,100.0,-100.0
2019-05-30,100.0,-100.0,-100.0
2019-05-31,-99.99998474121094,99.99991607666016,-99.65132141113281
2019-06-03,100.0,100.0,-100.0
2019-06-04,32.752479553222656,-99.998779296875,-100.0
2019-06-05,77.79328918457031,-100.0,-99.95093536376953
2019-06-06,97.07662963867188,100.0,-98.97998809814453
2019-06-07,100.0,-99.99998474121094,-99.99623107910156
2019-06-10,99.9989242553711,-84.86174011230469,-99.9994125366211
2019-06-11,100.0,-99.81118774414062,-99.99999237060547
2019-06-12,99.99527740478516,-64.86314392089844,-99.99989318847656
2019-06-13,100.0,100.0,-95.25090789794922
2019-06-14,-100.0,99.9999771118164,-73.37036895751953
2019-06-17,100.0,100.0,-100.0
2019-06-18,100.0,-100.0,61.77566146850586
2019-06-19,100.0,-100.0,99.78133392333984
2019-06-20,-68.24473571777344,-99.29861450195312,-99.51847839355469
2019-06-21,100.0,100.0,-100.0
2019-06-24,100.0,-99.98174285888672,-99.9996566772461
2019-06-25,100.0,-100.0,-100.0
2019-06-26,100.0,-34.406028747558594,-100.0
2019-06-27,55.226802825927734,56.91621398925781,-99.9946517944336
2019-06-28,-97.087158203125,-98.93926239013672,-99.99720764160156
2019-07-01,100.0,100.0,-100.0
2019-07-02,-99.9994888305664,-100.0,-100.0
2019-07-03,100.0,100.0,-100.0
2019-07-04,4.444336891174316,-99.99090576171875,-100.0
2019-07-05,100.0,100.0,-100.0
2019-07-08,-100.0,-99.99964141845703,-100.0
2019-07-09,100.0,100.0,-100.0
2019-07-10,99.99726104736328,-99.99978637695312,-99.99412536621094
2019-07-11,100.0,-100.0,-100.0
2019-07-12,100.0,99.99982452392578,-99.99903106689453
2019-07-15,98.48408508300781,84.41194152832031,-99.99999237060547
2019-07-16,99.7794418334961,-98.78047943115234,-99.99999237060547
2019-07-17,100.0,-99.92216491699219,-83.74325561523438
2019-07-18,-99.67230224609375,-100.0,-99.99659729003906
2019-07-19,100.0,100.0,-100.0
2019-07-22,-100.0,-99.99699401855469,-100.0
2019-07-23,100.0,100.0,-100.0
2019-07-24,100.0,-100.0,-100.0
2019-07-25,100.0,-99.91223907470703,-100.0
2019-07-26,-99.67927551269531,-100.0,-99.94834899902344
2019-07-29,100.0,100.0,-100.0
2019-07-30,-99.99969482421875,-99.99945831298828,-100.0
2019-07-31,100.0,100.0,-100.0
2019-08-01,-99.99740600585938,-100.0,-100.0
2019-08-02,100.0,100.0,-100.0
2019-08-05,79.21582794189453,-100.0,-99.99998474121094
2019-08-06,-97.07708740234375,9.324562072753906,100.0
2019-08-07,100.0,100.0,-100.0
2019-08-08,100.0,99.9947509765625,-100.0
2019-08-09,99.99972534179688,-76.94328308105469,-100.0
2019-08-12,99.95524597167969,74.49472045898438,100.0
2019-08-13,100.0,-99.99987030029297,-99.99937438964844
2019-08-14,100.0,-100.0,-34.65117263793945
2019-08-15,93.21562957763672,-99.99870300292969,-100.0
2019-08-16,100.0,-100.0,-99.9999771118164
2019-08-19,99.99998474121094,100.0,-100.0
