date,STB,SBT,FPT
2019-06-17,99.9999771118164,61.195587158203125,91.43421936035156
2019-06-18,-99.99942016601562,100.0,99.68102264404297
2019-06-19,96.48556518554688,-99.9798355102539,-7.5727996826171875
2019-06-20,-23.639118194580078,-100.0,100.0
2019-06-21,-78.53021240234375,-100.0,-99.99977111816406
2019-06-24,100.0,-100.0,100.0
2019-06-25,-97.25471496582031,-99.99911499023438,100.0
2019-06-26,99.99641418457031,-100.0,-100.0
2019-06-27,100.0,-100.0,100.0
2019-06-28,-99.99889373779297,-100.0,-100.0
2019-07-01,100.0,-100.0,100.0
2019-07-02,-99.99996948242188,-100.0,-99.99645233154297
2019-07-03,100.0,-100.0,100.0
2019-07-04,-99.98731994628906,-100.0,-87.2941665649414
2019-07-05,100.0,-100.0,100.0
2019-07-08,99.81665802001953,-100.0,-98.70883178710938
2019-07-09,100.0,-100.0,100.0
2019-07-10,89.10806274414062,-100.0,99.9999771118164
2019-07-11,-100.0,42.719078063964844,99.71304321289062
2019-07-12,-99.45101165771484,-99.99999237060547,-99.91061401367188
2019-07-15,100.0,-100.0,100.0
2019-07-16,-99.9977798461914,-99.41947937011719,-19.7916259765625
2019-07-17,100.0,-100.0,100.0
2019-07-18,-94.16264343261719,-99.39735412597656,-99.99999237060547
2019-07-19,100.0,-100.0,100.0
2019-07-22,30.64126968383789,-100.0,-99.34211730957031
2019-07-23,100.0,-100.0,100.0
2019-07-24,-99.99964141845703,-99.24543762207031,-99.95712280273438
2019-07-25,100.0,-100.0,100.0
2019-07-26,-29.605484008789062,-99.99999237060547,99.36933898925781
2019-07-29,-99.81587982177734,-99.99999237060547,99.9014892578125
2019-07-30,-99.99998474121094,-99.9999771118164,-87.86161804199219
2019-07-31,100.0,-100.0,100.0
2019-08-01,-100.0,-100.0,-100.0
2019-08-02,100.0,-100.0,100.0
2019-08-05,-99.69017791748047,-99.6181869506836,-3.2151103019714355
2019-08-06,-99.99996185302734,-100.0,97.03697967529297
2019-08-07,-99.99996185302734,-18.918710708618164,-100.0
2019-08-08,100.0,-100.0,100.0
2019-08-09,-99.83248138427734,-100.0,-95.11153411865234
2019-08-12,100.0,-100.0,100.0
2019-08-13,99.99915313720703,-100.0,-99.99999237060547
2019-08-14,100.0,-100.0,100.0
2019-08-15,-97.3172607421875,-100.0,99.9852523803711
2019-08-16,-37.875484466552734,-100.0,-100.0
2019-08-19,100.0,-100.0,100.0
2019-08-20,99.6207275390625,-100.0,-99.9761962890625
2019-08-21,100.0,-100.0,100.0
2019-08-22,62.54026794433594,-95.27420043945312,80.0426254272461
2019-08-23,-99.9999771118164,-100.0,-99.99990844726562
2019-08-26,100.0,-100.0,100.0
2019-08-27,-100.0,-100.0,-100.0
2019-08-28,100.0,-100.0,100.0
2019-08-29,-99.99998474121094,-100.0,100.0
2019-08-30,92.92706298828125,-99.41963195800781,99.78273010253906
2019-09-03,96.42813110351562,-100.0,99.31261444091797
2019-09-04,99.99906158447266,-100.0,48.91108322143555
2019-09-05,-99.66458892822266,99.99958038330078,99.97303771972656
2019-09-06,-99.99848175048828,99.99832153320312,-99.99999237060547
2019-09-09,100.0,-100.0,100.0
2019-09-10,-99.73049926757812,-100.0,-99.99622344970703
2019-09-11,100.0,-100.0,100.0
2019-09-12,-90.85803985595703,-100.0,-99.99958038330078
2019-09-13,100.0,-100.0,100.0
2019-09-16,45.44340515136719,-100.0,-99.99996948242188
2019-09-17,100.0,-100.0,100.0
2019-09-18,-100.0,-100.0,-100.0
2019-09-19,100.0,-100.0,100.0
2019-09-20,-99.88072967529297,-99.9999008178711,-100.0
2019-09-23,100.0,-100.0,100.0
2019-09-24,-99.99960327148438,-48.5809440612793,96.74263000488281
2019-09-25,-99.97657012939453,-100.0,100.0
2019-09-26,-100.0,-100.0,99.96826934814453
2019-09-27,-94.38450622558594,99.94020080566406,-100.0
2019-09-30,100.0,-100.0,100.0
2019-10-01,99.99998474121094,-99.98665618896484,99.98247528076172
2019-10-02,99.9999771118164,-99.99805450439453,-99.99772644042969
2019-10-03,100.0,-100.0,100.0
2019-10-04,-100.0,-100.0,-100.0
2019-10-07,100.0,-100.0,100.0
