date,HPG,VIC,FPT
2019-01-02,-100.0,-100.0,100.0
2019-01-03,-99.99925231933594,-100.0,100.0
2019-01-04,-99.91708374023438,-100.0,99.99995422363281
2019-01-07,-99.41561889648438,99.97696685791016,-45.14483642578125
2019-01-08,-90.8001480102539,100.0,99.99613952636719
2019-01-09,-99.8983383178711,99.9999771118164,-99.0797119140625
2019-01-10,-98.98834228515625,-98.85990142822266,-99.64363861083984
2019-01-11,-100.0,-100.0,100.0
2019-01-14,-99.99999237060547,-100.0,100.0
2019-01-15,-99.99982452392578,-100.0,99.99374389648438
2019-01-16,-99.99195861816406,99.99998474121094,26.12787437438965
2019-01-17,-99.58121490478516,99.99747467041016,86.75475311279297
2019-01-18,-88.2686767578125,-57.22183609008789,-99.97430419921875
2019-01-21,-99.99996185302734,-100.0,100.0
2019-01-22,-97.88215637207031,-99.99983978271484,99.98822021484375
2019-01-23,-93.96855163574219,-100.0,-100.0
2019-01-24,-99.99998474121094,-100.0,29.6938419342041
2019-01-25,-99.9999008178711,-100.0,81.34507751464844
2019-01-28,-75.19402313232422,99.99928283691406,17.15929412841797
2019-01-29,-98.48285675048828,99.82950592041016,-99.99952697753906
2019-01-30,-97.51374816894531,98.78938293457031,-99.5214614868164
2019-01-31,-99.4312973022461,-85.70587921142578,99.99968719482422
2019-02-01,-99.99999237060547,-100.0,-99.2510757446289
2019-02-11,-100.0,-100.0,100.0
2019-02-12,-100.0,-100.0,99.98533630371094
2019-02-13,-99.66714477539062,-9.851426124572754,-99.71853637695312
2019-02-14,-100.0,-100.0,99.9999771118164
2019-02-15,-99.82398986816406,99.79998779296875,-100.0
2019-02-18,-99.41292572021484,99.1353530883789,-99.97811889648438
2019-02-19,-98.81194305419922,-19.429677963256836,-98.56925964355469
2019-02-20,-100.0,-100.0,100.0
2019-02-21,-100.0,-100.0,100.0
2019-02-22,-100.0,-100.0,100.0
2019-02-25,-99.2521743774414,99.75659942626953,-99.99998474121094
2019-02-26,-98.18191528320312,99.9950180053711,-99.99445343017578
2019-02-27,-98.93318176269531,99.2934341430664,-91.73469543457031
2019-02-28,-98.68157958984375,98.47953033447266,8.566415786743164
2019-03-01,-97.54386901855469,97.80479431152344,88.10250854492188
2019-03-04,-99.01988220214844,80.71832275390625,89.28983306884766
2019-03-05,-98.89067840576172,90.40338134765625,70.22223663330078
2019-03-06,-97.33750915527344,96.25140380859375,84.76673126220703
2019-03-07,-97.59188842773438,90.4152603149414,-33.47740173339844
2019-03-08,-97.72531127929688,-17.34278106689453,-98.0512466430664
2019-03-11,-99.99984741210938,-100.0,-99.96862030029297
2019-03-12,-100.0,-100.0,100.0
2019-03-13,-100.0,-100.0,100.0
2019-03-14,-100.0,-100.0,100.0
2019-03-15,-99.9983901977539,99.80802917480469,49.90006637573242
2019-03-18,-99.84429168701172,99.96023559570312,-99.99918365478516
2019-03-19,-99.70067596435547,99.9990234375,-99.99647521972656
2019-03-20,-99.6065673828125,99.99412536621094,-87.38410949707031
2019-03-21,-98.88900756835938,99.1063003540039,-99.65245819091797
2019-03-22,-98.87711334228516,99.99925994873047,-96.88184356689453
2019-03-25,77.98027801513672,-100.0,99.18687438964844
2019-03-26,-99.99990844726562,-100.0,100.0
2019-03-27,-99.99993133544922,-100.0,90.77155303955078
2019-03-28,-99.98049926757812,99.99718475341797,-100.0
2019-03-29,-98.89222717285156,99.99747467041016,-99.99878692626953
2019-04-01,-99.89503479003906,99.7913589477539,-98.0595703125
2019-04-02,-99.82296752929688,-83.5196762084961,-63.012855529785156
2019-04-03,-100.0,-100.0,100.0
2019-04-04,-100.0,-100.0,100.0
2019-04-05,-100.0,-100.0,-89.20238494873047
2019-04-08,-100.0,-100.0,100.0
2019-04-09,-100.0,-100.0,100.0
2019-04-10,-97.9342269897461,99.99849700927734,-99.99981689453125
2019-04-11,-99.46479034423828,99.99940490722656,-99.46881866455078
2019-04-12,-99.28463745117188,58.22365188598633,-99.86104583740234
2019-04-16,-99.97274017333984,-90.78777313232422,-17.00606346130371
2019-04-17,-100.0,-100.0,100.0
2019-04-18,-100.0,-100.0,100.0
2019-04-19,-100.0,-100.0,18.048810958862305
2019-04-22,-99.99996185302734,-100.0,-100.0
2019-04-23,-100.0,-100.0,100.0
2019-04-24,-99.99996948242188,-100.0,87.64436340332031
2019-04-25,-99.17082214355469,99.99491882324219,-99.99982452392578
2019-04-26,-99.66900634765625,99.5391616821289,-99.99834442138672
2019-05-02,-99.66869354248047,-19.86019515991211,-98.7774887084961
2019-05-03,-100.0,-100.0,100.0
2019-05-06,-100.0,-100.0,100.0
2019-05-07,-100.0,-100.0,99.9999771118164
2019-05-08,-99.78651428222656,99.99320220947266,-99.9957504272461
2019-05-09,-99.42645263671875,99.99974060058594,-98.88764190673828
2019-05-10,-99.27963256835938,99.9240493774414,-66.49807739257812
2019-05-13,-99.6679458618164,44.789459228515625,-39.37651062011719
2019-05-14,-99.46308898925781,-81.57334899902344,-98.58128356933594
2019-05-15,-100.0,-100.0,100.0
2019-05-16,-100.0,-100.0,100.0
2019-05-17,-100.0,-100.0,100.0
2019-05-20,-99.96442413330078,99.66132354736328,-99.99677276611328
2019-05-21,-98.89566040039062,19.546783447265625,-99.99758911132812
2019-05-22,-99.99990844726562,-99.99972534179688,80.71842193603516
2019-05-23,-100.0,-100.0,100.0
2019-05-24,-99.9985580444336,-100.0,-100.0
2019-05-27,-100.0,-100.0,100.0
2019-05-28,-99.99895477294922,-100.0,-99.6960678100586
2019-05-29,-100.0,-100.0,100.0
2019-05-30,-99.99699401855469,99.98590850830078,-88.91062927246094
2019-05-31,-91.42291259765625,100.0,99.99626922607422
2019-06-03,91.11893463134766,100.0,100.0
2019-06-04,99.19676971435547,99.99687957763672,94.17450714111328
2019-06-05,90.21630096435547,99.99894714355469,-99.92069244384766
2019-06-06,-86.6769790649414,100.0,-2.8038084506988525
2019-06-07,-99.91935729980469,98.13616180419922,99.72689056396484
2019-06-10,-99.89364624023438,93.60198974609375,-72.58586883544922
2019-06-11,-99.99102020263672,-49.87758255004883,86.0545654296875
2019-06-12,-99.99998474121094,-100.0,100.0
2019-06-13,-99.99999237060547,-100.0,100.0
2019-06-14,-99.48509979248047,85.13876342773438,-88.82564544677734
2019-06-17,-51.798622131347656,-99.999755859375,-100.0
2019-06-18,-100.0,-100.0,100.0
2019-06-19,-99.99993133544922,-100.0,99.99824523925781
2019-06-20,-99.97960662841797,99.99944305419922,-99.97061920166016
2019-06-21,-99.9315185546875,99.92910766601562,-99.71578216552734
2019-06-24,-99.98262786865234,99.3087158203125,-99.9538345336914
2019-06-25,-99.96224975585938,-69.47586822509766,-100.0
2019-06-26,-100.0,-100.0,100.0
2019-06-27,-100.0,-100.0,100.0
2019-06-28,-100.0,-100.0,-99.29276275634766
2019-07-01,-100.0,-100.0,100.0
2019-07-02,-100.0,-100.0,-99.99967956542969
2019-07-03,-100.0,-100.0,100.0
2019-07-04,-100.0,-100.0,-83.20799255371094
