,date,account_value
0,2019-01-02,10000.0
1,2019-01-03,9980.160399999999
2,2019-01-04,10009.651253
3,2019-01-07,10049.614253
4,2019-01-08,10049.433253000001
5,2019-01-09,10099.476253
6,2019-01-10,10090.029253
7,2019-01-11,10090.390253000001
8,2019-01-14,10090.209253
9,2019-01-15,10128.829603363542
10,2019-01-16,10166.906345733125
11,2019-01-17,10156.831140716034
12,2019-01-18,10166.533140716037
13,2019-01-21,10186.847093716036
14,2019-01-22,10186.576093716036
15,2019-01-23,10206.376093716035
16,2019-01-24,10226.628093716035
17,2019-01-25,10236.528093716037
18,2019-01-28,10248.690475609972
19,2019-01-29,10258.09319627564
20,2019-01-30,10247.914427055668
21,2019-01-31,10237.732227055669
22,2019-02-01,9873.65028016236
23,2019-02-11,10301.194343873296
24,2019-02-12,10781.035112992178
25,2019-02-13,10771.171935928312
26,2019-02-14,11153.371935928313
27,2019-02-15,11065.171935928312
28,2019-02-18,11231.771935928313
29,2019-02-19,11457.171935928312
30,2019-02-20,11506.171935928312
31,2019-02-21,11692.371935928313
32,2019-02-22,11555.171935928312
33,2019-02-25,11486.571935928312
34,2019-02-26,11408.171935928312
35,2019-02-27,11590.27726355931
36,2019-02-28,11244.541131412094
37,2019-03-01,11347.512940457074
38,2019-03-04,11573.008940457075
39,2019-03-05,11564.446940457075
40,2019-03-06,11605.076940457076
41,2019-03-07,11751.218940457076
42,2019-03-08,11643.132940457075
43,2019-03-11,11662.160940457075
44,2019-03-12,11693.658940457075
45,2019-03-13,11585.792796457075
46,2019-03-14,11654.897417028213
47,2019-03-15,11625.35555747316
48,2019-03-18,11735.797864855249
49,2019-03-19,11703.689649086175
50,2019-03-20,11607.223710220705
51,2019-03-21,11595.684510220706
52,2019-03-22,11742.501510220707
53,2019-03-25,11405.901510220709
54,2019-03-26,11257.401510220709
55,2019-03-27,11277.201510220708
56,2019-03-28,11475.201510220708
57,2019-03-29,11475.201510220708
58,2019-04-01,11534.601510220707
59,2019-04-02,11514.801510220706
60,2019-04-03,11370.907912271308
61,2019-04-04,11382.857672809714
62,2019-04-05,11382.397272809712
63,2019-04-08,11421.729578717916
64,2019-04-09,11175.902666791646
65,2019-04-10,11098.181565450399
66,2019-04-11,11397.062429621239
67,2019-04-12,11218.86242962124
68,2019-04-16,11194.15782997372
69,2019-04-17,10872.113611868024
70,2019-04-18,10861.333611868024
71,2019-04-19,10959.442611868024
72,2019-04-22,10948.542711868024
73,2019-04-23,11044.388411868023
74,2019-04-24,11121.988411868024
75,2019-04-25,11110.949811868024
76,2019-04-26,11109.630611868026
77,2019-05-02,11097.66278141258
78,2019-05-03,10979.444458812028
79,2019-05-06,10950.344458812027
80,2019-05-07,10989.144458812027
81,2019-05-08,10984.811889202196
82,2019-05-09,10980.482397424776
83,2019-05-10,10990.17966400345
84,2019-05-13,11009.574197160799
85,2019-05-14,10998.625983193475
86,2019-05-15,11160.529983193475
87,2019-05-16,11314.129983193478
88,2019-05-17,11302.907583193477
89,2019-05-20,11349.285183193477
90,2019-05-21,11330.060467560084
91,2019-05-22,11310.835751926694
92,2019-05-23,11273.36108976582
93,2019-05-24,11065.16589061955
94,2019-05-27,11051.800274622234
95,2019-05-28,10942.434658624921
96,2019-05-29,11056.74387762492
97,2019-05-30,11039.03087762492
98,2019-05-31,10999.59987762492
99,2019-06-03,10987.240877624921
100,2019-06-04,10998.02787762492
101,2019-06-05,11121.67187762492
102,2019-06-06,11121.67187762492
103,2019-06-07,11227.88487762492
104,2019-06-10,11226.078357587307
105,2019-06-11,11155.617250466032
106,2019-06-12,11144.502250466032
107,2019-06-13,11085.366250466033
108,2019-06-14,11084.820112466032
109,2019-06-17,10988.962112466032
110,2019-06-18,10941.603112466033
111,2019-06-19,11122.820112466032
112,2019-06-20,11133.175112466033
113,2019-06-21,10990.583189466033
114,2019-06-24,11171.083189466033
115,2019-06-25,11171.083189466033
116,2019-06-26,11218.583189466033
117,2019-06-27,11097.582064969954
118,2019-06-28,11161.806666949402
119,2019-07-01,11150.661665307556
120,2019-07-02,11006.527665307558
121,2019-07-03,10965.252951093042
122,2019-07-04,11068.98161272558
123,2019-07-05,11068.256009228553
124,2019-07-08,10982.031126651038
125,2019-07-09,10971.604941653479
126,2019-07-10,11036.460217532385
127,2019-07-11,11005.196240289344
128,2019-07-12,10941.579318980826
129,2019-07-15,10930.675318980826
130,2019-07-16,11081.326318980828
131,2019-07-17,11043.326318980828
132,2019-07-18,11024.795591651573
133,2019-07-19,11130.38451037716
134,2019-07-22,11178.350059846154
135,2019-07-23,11477.787017956962
136,2019-07-24,11680.020134991875
137,2019-07-25,11718.185408177607
138,2019-07-26,11597.344608134885
139,2019-07-29,11798.486914088102
140,2019-07-30,11614.567855022091
141,2019-07-31,11568.116672556576
142,2019-08-01,11556.577122274992
143,2019-08-02,11370.332322274991
144,2019-08-05,11359.062322274991
145,2019-08-06,11520.53432227499
146,2019-08-07,11399.89648392317
147,2019-08-08,11780.057644384597
148,2019-08-09,11631.937198259566
149,2019-08-12,11592.666802525922
150,2019-08-13,11402.209835668013
151,2019-08-14,11428.410623892807
152,2019-08-15,11612.659547157886
153,2019-08-16,11685.788559906605
154,2019-08-19,11676.288559906605
155,2019-08-20,11590.788559906605
156,2019-08-21,11723.788559906605
157,2019-08-22,11712.160559906604
158,2019-08-23,11599.359359906606
159,2019-08-26,11580.959359906607
160,2019-08-27,11369.359359906606
161,2019-08-28,11323.359359906606
162,2019-08-29,11369.193975906606
163,2019-08-30,11461.765975906606
164,2019-09-03,11416.243975906606
165,2019-09-04,11404.857637906605
166,2019-09-05,11356.274437906606
167,2019-09-06,11272.574437906605
168,2019-09-09,11412.074437906605
169,2019-09-10,11356.274437906606
170,2019-09-11,11309.774437906606
171,2019-09-12,11309.774437906606
172,2019-09-13,11330.074581138953
173,2019-09-16,11355.108380507241
174,2019-09-17,11343.82506807438
175,2019-09-18,11277.327468074382
176,2019-09-19,11266.085068074382
177,2019-09-20,11061.707068074385
178,2019-09-23,11024.907068074384
179,2019-09-24,11126.107068074383
180,2019-09-25,11115.057868074384
181,2019-09-26,11039.645468074385
