,0
Annual return,0.06692980443648566
Cumulative returns,0.13133725820016795
Annual volatility,0.17990826405480181
Sharpe ratio,0.4515482573684538
Calmar ratio,0.18757731983866183
Stability,0.19249125253841765
Max drawdown,-0.35681181762301023
Omega ratio,1.0931151285842013
Sortino ratio,0.583392761723554
Skew,
Kurtosis,
Tail ratio,0.9184051188206784
Daily value at risk,-0.022343940646079474
Alpha,0.0
Beta,0.9999999999999998
