date,FPT,SBT,REE
2019-01-02,100.0,100.0,100.0
2019-01-03,100.0,100.0,99.99396514892578
2019-01-04,-99.9895248413086,-100.0,-99.99616241455078
2019-01-07,100.0,100.0,100.0
2019-01-08,-61.122982025146484,-100.0,-99.52896881103516
2019-01-09,100.0,100.0,100.0
2019-01-10,26.71086883544922,96.47441101074219,-96.11145782470703
2019-01-11,96.88390350341797,-100.0,65.79008483886719
2019-01-14,5.401337146759033,-99.03607177734375,97.2178955078125
2019-01-15,-96.18132019042969,-99.99993896484375,91.29960632324219
2019-01-16,100.0,100.0,64.85285949707031
2019-01-17,-98.5328598022461,97.69778442382812,-99.72261810302734
2019-01-18,100.0,100.0,100.0
2019-01-21,89.79439544677734,-100.0,-94.6590347290039
2019-01-22,100.0,100.0,99.99921417236328
2019-01-23,-58.93132019042969,-100.0,-99.49494171142578
2019-01-24,100.0,100.0,100.0
2019-01-25,33.66740798950195,-100.0,-95.76631927490234
2019-01-28,100.0,100.0,100.0
2019-01-29,81.39688873291016,98.28966522216797,-37.098388671875
2019-01-30,99.98703002929688,99.99993133544922,99.99998474121094
2019-01-31,99.99445343017578,99.99971008300781,100.0
2019-02-01,97.82662200927734,-100.0,80.23145294189453
2019-02-11,99.99818420410156,100.0,100.0
2019-02-12,99.99964141845703,-99.99993896484375,99.99993133544922
2019-02-13,99.99921417236328,-99.70333862304688,100.0
2019-02-14,99.996826171875,-99.99996948242188,99.99998474121094
2019-02-15,99.33857727050781,-100.0,99.99964141845703
2019-02-18,99.97889709472656,-100.0,99.99980926513672
2019-02-19,99.44091033935547,-99.9695816040039,99.99980926513672
2019-02-20,99.98162841796875,96.29940795898438,99.99990844726562
2019-02-21,99.38616943359375,-99.99998474121094,99.99951171875
2019-02-22,96.93576049804688,-99.9999771118164,99.99987030029297
2019-02-25,99.9022216796875,-100.0,99.99983215332031
2019-02-26,99.4121322631836,-99.99485778808594,99.85989379882812
2019-02-27,-94.60464477539062,-100.0,99.56895446777344
2019-02-28,-99.99992370605469,98.69535064697266,-85.25
2019-03-01,100.0,100.0,100.0
2019-03-04,-99.99998474121094,-100.0,94.47000122070312
2019-03-05,-99.99927520751953,62.813114166259766,98.7285385131836
2019-03-06,-99.96220397949219,-100.0,42.65460968017578
2019-03-07,99.95469665527344,-99.95802307128906,72.1869125366211
2019-03-08,100.0,-100.0,-21.746789932250977
2019-03-11,99.96857452392578,51.300384521484375,-63.69801712036133
2019-03-12,28.059423446655273,-100.0,100.0
2019-03-13,99.96814727783203,-96.66874694824219,100.0
2019-03-14,100.0,-100.0,99.99998474121094
2019-03-15,-100.0,-90.00898742675781,99.99945068359375
2019-03-18,99.99998474121094,-11.602109909057617,99.99996185302734
