date,STB,FPT,FPT
2019-01-02,100.0,100.0,99.99993133544922
2019-01-03,100.0,100.0,88.78059387207031
2019-01-04,99.99995422363281,100.0,-99.99947357177734
2019-01-07,99.95042419433594,100.0,-87.87903594970703
2019-01-08,99.96382904052734,100.0,-99.99854278564453
2019-01-09,99.95795440673828,99.99192810058594,-99.99983215332031
2019-01-10,99.96320343017578,100.0,99.99996185302734
2019-01-11,99.9618911743164,100.0,100.0
2019-01-14,99.94368743896484,99.84724426269531,-79.49049377441406
2019-01-15,99.92749786376953,100.0,99.99747467041016
2019-01-16,99.955322265625,-99.99854278564453,99.99650573730469
2019-01-17,99.99909210205078,100.0,-99.9856185913086
2019-01-18,99.98681640625,100.0,-68.03355407714844
2019-01-21,99.96163940429688,100.0,99.99861907958984
2019-01-22,99.97634887695312,100.0,99.993896484375
2019-01-23,99.9815444946289,15.855491638183594,96.41547393798828
2019-01-24,99.9653091430664,100.0,99.0207290649414
2019-01-25,99.96428680419922,91.01738739013672,-99.96295928955078
2019-01-28,99.96870422363281,-61.677032470703125,-29.879772186279297
2019-01-29,100.0,100.0,99.99418640136719
2019-01-30,99.9073486328125,100.0,99.99415588378906
2019-01-31,99.93009948730469,99.99984741210938,99.9989013671875
2019-02-01,99.040283203125,99.99942779541016,99.76899719238281
2019-02-11,99.98628234863281,100.0,99.9999771118164
2019-02-12,99.98931884765625,100.0,100.0
2019-02-13,99.9900131225586,100.0,100.0
2019-02-14,99.9664077758789,99.91996002197266,99.9999771118164
2019-02-15,99.90162658691406,99.99987030029297,99.99838256835938
2019-02-18,99.87616729736328,99.9999771118164,99.99754333496094
2019-02-19,99.8653564453125,100.0,99.997314453125
2019-02-20,99.86131286621094,98.10710906982422,99.99703979492188
2019-02-21,99.8467788696289,100.0,99.99442291259766
2019-02-22,99.8607406616211,-99.98814392089844,99.99673461914062
2019-02-25,99.11320495605469,86.3973159790039,99.9856948852539
2019-02-26,98.54568481445312,100.0,99.75929260253906
2019-02-27,98.7953872680664,99.96615600585938,99.04351043701172
2019-02-28,99.74340057373047,99.98097229003906,69.76311492919922
2019-03-01,99.77140808105469,-96.51960754394531,65.05851745605469
2019-03-04,99.02735900878906,99.59883880615234,60.50424575805664
2019-03-05,99.0780029296875,100.0,56.747413635253906
2019-03-06,99.73939514160156,99.99970245361328,33.77020263671875
2019-03-07,99.76239013671875,-99.32032775878906,34.8317985534668
2019-03-08,99.98927307128906,100.0,60.71177673339844
2019-03-11,99.99356079101562,100.0,36.4085807800293
2019-03-12,95.27454376220703,-100.0,99.82562255859375
2019-03-13,87.40472412109375,-99.98712158203125,99.96786499023438
2019-03-14,91.96866607666016,99.99449157714844,99.95093536376953
2019-03-15,95.29991149902344,100.0,99.63815307617188
2019-03-18,93.7437744140625,98.19048309326172,99.90141296386719
2019-03-19,98.22964477539062,100.0,97.35372924804688
2019-03-20,99.91445922851562,99.9970932006836,70.92723846435547
2019-03-21,99.98628997802734,99.94044494628906,45.6486930847168
2019-03-22,99.99930572509766,-99.89140319824219,25.86482810974121
2019-03-25,99.99998474121094,-99.4637222290039,37.84783935546875
2019-03-26,99.9999771118164,-20.68565559387207,-2.3211538791656494
2019-03-27,99.99995422363281,-99.99590301513672,-1.0104238986968994
2019-03-28,99.99993896484375,99.99998474121094,3.1349897384643555
2019-03-29,99.99690246582031,82.22107696533203,58.65385437011719
2019-04-01,99.94318389892578,99.99996185302734,83.19051361083984
2019-04-02,97.83740997314453,99.99932861328125,99.09379577636719
2019-04-03,93.5333480834961,-91.3968505859375,99.9948959350586
2019-04-04,91.29059600830078,99.99998474121094,99.99976348876953
2019-04-05,84.775146484375,99.99868774414062,99.99775695800781
2019-04-08,76.19924926757812,100.0,99.99370574951172
2019-04-09,34.644554138183594,100.0,99.92987060546875
2019-04-10,96.12699890136719,100.0,91.50125122070312
2019-04-11,95.21662139892578,99.98054504394531,90.78894805908203
2019-04-12,77.05938720703125,-71.13493347167969,99.8000717163086
2019-04-16,73.97999572753906,99.99995422363281,99.38655853271484
2019-04-17,24.379074096679688,100.0,99.94368743896484
2019-04-18,37.096214294433594,100.0,99.64633178710938
2019-04-19,48.172523498535156,99.99954986572266,98.84527587890625
2019-04-22,96.36249542236328,-100.0,83.4893569946289
