date,VNM,SSI,REE
2019-01-02,100.0,100.0,-100.0
2019-01-03,99.99823760986328,-99.98628234863281,99.99834442138672
2019-01-04,99.66001892089844,-100.0,-99.99999237060547
2019-01-07,99.71892547607422,-99.99873352050781,-100.0
2019-01-08,98.99083709716797,-99.99999237060547,-100.0
2019-01-09,96.93959045410156,97.55866241455078,-99.88981628417969
2019-01-10,97.414306640625,-63.94758987426758,-99.99982452392578
2019-01-11,98.9043960571289,99.99713897705078,-99.99989318847656
2019-01-14,99.46897888183594,-95.0765609741211,-99.99994659423828
2019-01-15,99.92256164550781,-99.99081420898438,-99.9999771118164
2019-01-16,99.87165832519531,-100.0,-100.0
2019-01-17,99.54631042480469,100.0,-99.7714614868164
2019-01-18,99.66986083984375,-99.87173461914062,-100.0
2019-01-21,99.91387939453125,-99.9999771118164,-99.99952697753906
2019-01-22,99.93164825439453,99.98829650878906,99.75800323486328
2019-01-23,99.93097686767578,43.40274429321289,98.677001953125
2019-01-24,99.95252990722656,99.9623794555664,-99.98551177978516
2019-01-25,99.95280456542969,-87.71446990966797,-100.0
2019-01-28,99.96054077148438,74.74443817138672,-98.72696685791016
2019-01-29,99.98033142089844,-22.4215145111084,-99.99999237060547
2019-01-30,99.99995422363281,90.0329818725586,-99.9992904663086
2019-01-31,99.99996185302734,98.91358947753906,-100.0
2019-02-01,99.9929428100586,97.9999771118164,-99.95807647705078
2019-02-11,100.0,99.6174087524414,-99.99999237060547
2019-02-12,100.0,99.96795654296875,-100.0
2019-02-13,100.0,96.80900573730469,-100.0
2019-02-14,100.0,99.29850006103516,-100.0
2019-02-15,99.9999771118164,98.9501953125,-100.0
2019-02-18,100.0,99.72467041015625,100.0
2019-02-19,100.0,88.30850219726562,-99.6170425415039
2019-02-20,99.99996185302734,99.91941833496094,65.65210723876953
2019-02-21,99.99995422363281,-57.61269760131836,-99.99994659423828
2019-02-22,99.9999771118164,88.48287200927734,-100.0
2019-02-25,100.0,-99.82982635498047,-100.0
2019-02-26,99.99995422363281,-29.25533103942871,-100.0
2019-02-27,99.9998779296875,82.77556610107422,-100.0
2019-02-28,99.9696044921875,15.369343757629395,-99.99132537841797
2019-03-01,99.98052215576172,-57.602481842041016,-100.0
2019-03-04,99.9963607788086,-79.82423400878906,-100.0
2019-03-05,99.99639892578125,34.270606994628906,-89.39722442626953
2019-03-06,99.98287963867188,-14.394247055053711,-100.0
2019-03-07,99.99457550048828,94.50054168701172,-100.0
2019-03-08,99.9801025390625,-23.803924560546875,-99.9993896484375
2019-03-11,99.99256134033203,96.3155746459961,-99.95822143554688
2019-03-12,99.9999771118164,98.27931213378906,-100.0
2019-03-13,100.0,-53.140098571777344,-100.0
2019-03-14,99.99998474121094,99.9979019165039,-99.99996185302734
2019-03-15,99.99993896484375,90.39349365234375,28.832698822021484
2019-03-18,99.9999771118164,80.37202453613281,-100.0
2019-03-19,99.99978637695312,94.70906066894531,-96.93569946289062
2019-03-20,99.99370574951172,6.611895561218262,-99.99992370605469
2019-03-21,99.97257995605469,82.79118347167969,-100.0
2019-03-22,99.95844268798828,94.5037841796875,-100.0
2019-03-25,99.70557403564453,-99.99945831298828,-100.0
2019-03-26,99.9516372680664,100.0,-75.7486801147461
2019-03-27,99.96041870117188,-99.9698257446289,99.99993133544922
2019-03-28,99.95939636230469,-93.65006256103516,-97.12073516845703
2019-03-29,99.99122619628906,-99.69181823730469,-100.0
2019-04-01,99.99854278564453,98.62830352783203,-100.0
2019-04-02,99.99990844726562,85.13562774658203,-100.0
2019-04-03,100.0,99.98979187011719,-99.99998474121094
2019-04-04,100.0,65.28860473632812,-100.0
2019-04-05,100.0,100.0,-82.0996322631836
2019-04-08,100.0,99.60038757324219,-100.0
2019-04-09,100.0,99.18757629394531,-100.0
2019-04-10,99.9998550415039,65.49703979492188,-100.0
2019-04-11,99.9998550415039,94.98174285888672,-100.0
2019-04-12,100.0,84.52691650390625,-99.99960327148438
2019-04-16,100.0,-99.94415283203125,-100.0
2019-04-17,100.0,-99.99977111816406,-100.0
2019-04-18,100.0,63.285160064697266,-100.0
2019-04-19,100.0,-98.98570251464844,-100.0
2019-04-22,99.9998779296875,42.32753372192383,-99.98912048339844
2019-04-23,99.9991455078125,22.344148635864258,-99.97017669677734
2019-04-24,99.99990844726562,46.149871826171875,-99.99999237060547
2019-04-25,99.9999771118164,99.9916763305664,-99.99949645996094
2019-04-26,100.0,26.878368377685547,-100.0
2019-05-02,100.0,-99.90225219726562,-100.0
2019-05-03,100.0,82.48308563232422,-100.0
2019-05-06,99.99908447265625,43.53898620605469,-99.99896240234375
2019-05-07,99.99995422363281,-99.94898986816406,-99.97554779052734
2019-05-08,99.9998779296875,52.463531494140625,99.99649810791016
2019-05-09,99.9969253540039,68.62737274169922,-99.99374389648438
2019-05-10,99.99665069580078,-2.0107269287109375,-100.0
2019-05-13,99.99968719482422,64.27184295654297,-100.0
2019-05-14,99.9999771118164,-87.47883605957031,-99.75752258300781
2019-05-15,99.99998474121094,99.91481018066406,-100.0
2019-05-16,99.99983215332031,3.605973720550537,-100.0
2019-05-17,99.99983215332031,99.82170867919922,-100.0
2019-05-20,100.0,-47.854698181152344,-99.99996185302734
2019-05-21,100.0,-89.37471008300781,-100.0
2019-05-22,100.0,98.25291442871094,-100.0
2019-05-23,100.0,100.0,-99.98941802978516
2019-05-24,100.0,99.09235382080078,-100.0
2019-05-27,99.9996566772461,99.16378021240234,-100.0
2019-05-28,99.99749755859375,3.0125856399536133,-100.0
2019-05-29,99.94536590576172,-99.78883361816406,-100.0
