,date,account_value
0,2019-01-02,1000000.0
1,2019-01-03,996106.6367600453
2,2019-01-04,1005448.6945545751
3,2019-01-07,1007792.6448686596
4,2019-01-08,1015307.8660083044
5,2019-01-09,1020331.81881568
6,2019-01-10,1026661.6970387661
7,2019-01-11,1024586.8852305025
8,2019-01-14,1018125.6983026757
9,2019-01-15,1023480.1937550997
10,2019-01-16,1022945.8011831816
11,2019-01-17,1030452.2915337997
12,2019-01-18,1045848.67383675
13,2019-01-22,1031022.4248318179
14,2019-01-23,1037762.959226863
15,2019-01-24,1038813.0964743869
16,2019-01-25,1047454.70709718
17,2019-01-28,1041742.2541251198
18,2019-01-29,1042299.4471879568
19,2019-01-30,1067723.259972061
20,2019-01-31,1066785.1782878945
21,2019-02-01,1074252.3482247277
22,2019-02-04,1086306.9493610365
23,2019-02-05,1099232.1635810158
24,2019-02-06,1097825.960969266
25,2019-02-07,1090758.389199842
26,2019-02-08,1089491.9073737925
27,2019-02-11,1088064.7605188845
28,2019-02-12,1104999.4095715925
29,2019-02-13,1111893.0956393154
30,2019-02-14,1109440.6539506917
31,2019-02-15,1127897.3577392509
32,2019-02-19,1128027.4083698494
33,2019-02-20,1129431.4703189603
34,2019-02-21,1124485.3976433706
35,2019-02-22,1135816.593888971
36,2019-02-25,1139564.3150193866
37,2019-02-26,1140408.637016635
38,2019-02-27,1143508.9364517287
39,2019-02-28,1147939.31189105
40,2019-03-01,1149462.648068891
41,2019-03-04,1139055.1359710158
42,2019-03-05,1136140.2408082506
43,2019-03-06,1128693.3826364754
44,2019-03-07,1119831.6870667483
45,2019-03-08,1119238.9318915764
46,2019-03-11,1112916.113134012
47,2019-03-12,1097728.139868057
48,2019-03-13,1102171.6983423217
49,2019-03-14,1099300.0907656378
50,2019-03-15,1108436.2381480462
51,2019-03-18,1106472.3577764896
52,2019-03-19,1108078.8641820084
53,2019-03-20,1106511.251998138
54,2019-03-21,1114884.1080390536
55,2019-03-22,1095002.638609762
56,2019-03-25,1101271.4570477044
57,2019-03-26,1106807.3003212123
58,2019-03-27,1106995.1945214744
59,2019-03-28,1109373.3327152864
60,2019-03-29,1120952.4573665431
61,2019-04-01,1136159.0717090014
62,2019-04-02,1125819.2546450999
63,2019-04-03,1123660.07763232
64,2019-04-04,1131809.8877313323
65,2019-04-05,1132353.2366121192
66,2019-04-08,1119544.2298721888
67,2019-04-09,1109427.5176885263
68,2019-04-10,1107997.632586493
69,2019-04-11,1113627.3087477207
70,2019-04-12,1123127.2582558808
71,2019-04-15,1121911.6629597854
72,2019-04-16,1130846.567916793
73,2019-04-17,1125659.9583748197
74,2019-04-18,1124534.311849912
75,2019-04-22,1123604.165001046
76,2019-04-23,1125227.8233744698
77,2019-04-24,1124189.8659597603
78,2019-04-25,1124272.1695362534
79,2019-04-26,1123616.7357223541
80,2019-04-29,1123616.7357223541
81,2019-04-30,1123616.7357223541
82,2019-05-01,1122153.0682673345
83,2019-05-02,1120657.0567176233
84,2019-05-03,1123429.5664855794
85,2019-05-06,1121315.0173705625
86,2019-05-07,1105245.3531982847
87,2019-05-08,1105693.4134986952
88,2019-05-09,1101322.330326494
89,2019-05-10,1106984.8680720753
90,2019-05-13,1078762.6177808559
91,2019-05-14,1090467.148744293
92,2019-05-15,1096953.2886188831
93,2019-05-16,1109343.7680133765
94,2019-05-17,1107267.4246233257
95,2019-05-20,1103800.10215792
96,2019-05-21,1110431.093010476
97,2019-05-22,1105793.958540503
98,2019-05-23,1096616.1724351337
99,2019-05-24,1103620.332809644
100,2019-05-28,1097728.7619144148
101,2019-05-29,1082846.7858042137
102,2019-05-30,1084051.128516381
103,2019-05-31,1068757.146214148
104,2019-06-03,1067122.789120622
105,2019-06-04,1088461.4253354094
106,2019-06-05,1098407.6915934295
107,2019-06-06,1108448.7355288381
108,2019-06-07,1120562.1280740357
109,2019-06-10,1125793.2495825575
110,2019-06-11,1122834.3212284145
111,2019-06-12,1121714.879484978
112,2019-06-13,1125233.772881632
113,2019-06-14,1125356.7195131201
114,2019-06-17,1132303.0896726316
115,2019-06-18,1152466.6510247665
116,2019-06-19,1151040.5353765439
117,2019-06-20,1165823.8160670868
118,2019-06-21,1163232.8117469356
119,2019-06-24,1163886.8531743228
120,2019-06-25,1155241.2851331097
121,2019-06-26,1156404.867835013
122,2019-06-27,1148383.7091241782
123,2019-06-28,1150951.231521636
124,2019-07-01,1150744.269798982
125,2019-07-02,1150526.9286366182
126,2019-07-03,1158335.2478591634
127,2019-07-05,1156857.2386795408
128,2019-07-08,1154166.6282432321
129,2019-07-09,1155051.5920253426
130,2019-07-10,1158709.3640962394
131,2019-07-11,1166878.7091496321
132,2019-07-12,1172195.1786283744
133,2019-07-15,1171191.3573356173
134,2019-07-16,1165648.7269505335
135,2019-07-17,1165355.4626301478
136,2019-07-18,1164596.9627074844
137,2019-07-19,1172332.9223202227
138,2019-07-22,1168097.1126812343
139,2019-07-23,1169925.698233167
140,2019-07-24,1167066.3808301205
141,2019-07-25,1155691.6056341513
142,2019-07-26,1156102.8468709728
143,2019-07-29,1154073.9663801664
144,2019-07-30,1155611.0114679276
145,2019-07-31,1137202.0972477756
146,2019-08-01,1130251.360288686
147,2019-08-02,1130462.9302420495
148,2019-08-05,1098139.43372823
149,2019-08-06,1108467.277953567
150,2019-08-07,1109386.7281015615
151,2019-08-08,1131325.1727621998
152,2019-08-09,1125621.4863517794
153,2019-08-12,1111540.7625677884
154,2019-08-13,1122332.311204801
155,2019-08-14,1086020.4489223682
156,2019-08-15,1097416.1372739447
157,2019-08-16,1107557.9476310255
158,2019-08-19,1120554.1317944492
159,2019-08-20,1117461.6025567416
160,2019-08-21,1131995.552569654
161,2019-08-22,1142233.5037757067
162,2019-08-23,1122078.6983549488
163,2019-08-26,1132501.556749852
164,2019-08-27,1131463.1617802763
165,2019-08-28,1139449.2258139793
166,2019-08-29,1151735.5156721293
167,2019-08-30,1154319.216410016
168,2019-09-03,1140210.896335375
169,2019-09-04,1151439.8849468683
170,2019-09-05,1165437.3824260763
171,2019-09-06,1170215.055115281
172,2019-09-09,1167797.907956441
173,2019-09-10,1177651.6834325264
174,2019-09-11,1187600.0905450897
175,2019-09-12,1184769.298543598
176,2019-09-13,1187638.6435027174
177,2019-09-16,1183174.372746596
178,2019-09-17,1187756.875860014
179,2019-09-18,1190118.861836448
180,2019-09-19,1188857.2657680297
181,2019-09-20,1181452.9652660484
182,2019-09-23,1181719.8796961699
183,2019-09-24,1181465.0647208232
184,2019-09-25,1189521.2047953722
185,2019-09-26,1186969.3216675902
186,2019-09-27,1180233.6837584658
187,2019-09-30,1182121.9480678383
188,2019-10-01,1171187.6890024934
189,2019-10-02,1149272.666447729
190,2019-10-03,1157092.3656078519
191,2019-10-04,1170763.0637564035
192,2019-10-07,1165131.8665912566
193,2019-10-08,1153811.314735829
194,2019-10-09,1160601.2558345841
195,2019-10-10,1163452.9701936971
196,2019-10-11,1176785.157316924
197,2019-10-14,1173819.4329857945
198,2019-10-15,1178842.680397823
199,2019-10-16,1178190.1899682842
200,2019-10-17,1171571.7098076406
201,2019-10-18,1141383.078422397
202,2019-10-21,1133286.8905347637
203,2019-10-22,1130503.468747652
204,2019-10-23,1134189.5595759833
205,2019-10-24,1138388.1455359973
206,2019-10-25,1139662.1229991964
207,2019-10-28,1145920.5254294442
208,2019-10-29,1145306.1134948188
209,2019-10-30,1149325.1878477565
210,2019-10-31,1139884.0420542264
211,2019-11-01,1150837.994119118
212,2019-11-04,1161254.7362323268
213,2019-11-05,1167077.8210747628
214,2019-11-06,1163000.446285248
215,2019-11-07,1171059.8255735147
216,2019-11-08,1167453.916121432
217,2019-11-11,1179468.6285451502
218,2019-11-12,1177437.8046485316
219,2019-11-13,1179338.2201677032
220,2019-11-14,1183642.9117258808
221,2019-11-15,1191787.3955415918
222,2019-11-18,1189644.7823134002
223,2019-11-19,1179737.3386810427
224,2019-11-20,1179293.5381132655
225,2019-11-21,1175389.412943913
226,2019-11-22,1180086.2506525207
227,2019-11-25,1184276.4313037272
228,2019-11-26,1186537.318934513
229,2019-11-27,1185149.1040962941
230,2019-11-29,1180491.974112253
231,2019-12-02,1164763.6165594643
232,2019-12-03,1157330.4890747443
233,2019-12-04,1158511.1034200725
234,2019-12-05,1155672.2433255007
235,2019-12-06,1168984.926862821
236,2019-12-09,1168498.9543250175
237,2019-12-10,1164483.74053202
238,2019-12-11,1162088.2726265788
239,2019-12-12,1166502.0432986617
240,2019-12-13,1164355.4705112746
241,2019-12-16,1157489.1649289755
242,2019-12-17,1158698.765117588
243,2019-12-18,1159649.7747296272
244,2019-12-19,1167523.9880051997
245,2019-12-20,1169614.1393615303
246,2019-12-23,1175688.7458381786
247,2019-12-24,1172272.521700297
248,2019-12-26,1172746.292265028
249,2019-12-27,1172929.8767002067
250,2019-12-30,1163339.53053042
251,2019-12-31,1165734.9009578929
252,2020-01-02,1179358.7490839248
253,2020-01-03,1172526.016556109
254,2020-01-06,1173785.5874169688
255,2020-01-07,1171623.6069260524
256,2020-01-08,1169439.0786207276
257,2020-01-09,1179161.165382125
258,2020-01-10,1169842.2381474548
259,2020-01-13,1172789.049932022
260,2020-01-14,1174282.2842554934
261,2020-01-15,1177271.3286458955
262,2020-01-16,1187843.0261225537
263,2020-01-17,1186949.9414077748
264,2020-01-21,1178623.5582032339
265,2020-01-22,1177123.4397867932
266,2020-01-23,1179738.5981343545
267,2020-01-24,1175985.7678355384
268,2020-01-27,1163720.633990142
269,2020-01-28,1171290.547249125
270,2020-01-29,1175902.188014913
271,2020-01-30,1182466.6546351237
272,2020-01-31,1162752.6345045443
273,2020-02-03,1169487.3456011103
274,2020-02-04,1183300.3089213287
275,2020-02-05,1208775.8158628896
276,2020-02-06,1219830.867955214
277,2020-02-07,1211442.539092132
278,2020-02-10,1225860.1448225123
279,2020-02-11,1223567.4041522571
280,2020-02-12,1230809.2936984808
281,2020-02-13,1227387.5455116276
282,2020-02-14,1227338.048447306
283,2020-02-18,1225970.8084824919
284,2020-02-19,1225950.8014591774
285,2020-02-20,1221587.329935534
286,2020-02-21,1210373.8570871858
287,2020-02-24,1171040.9898027699
288,2020-02-25,1136479.072053369
289,2020-02-26,1130155.7682439901
290,2020-02-27,1078027.9542846666
291,2020-02-28,1057164.2135837353
292,2020-03-02,1112098.6004204077
293,2020-03-03,1078926.4899878155
294,2020-03-04,1121325.0386875183
295,2020-03-05,1082810.7914486655
296,2020-03-06,1072228.0432220348
297,2020-03-09,982820.785511541
298,2020-03-10,981837.9996315085
299,2020-03-11,969772.659882462
300,2020-03-12,941041.8116432286
301,2020-03-13,975601.8527760714
302,2020-03-16,975185.6338589005
303,2020-03-17,975185.6338589005
304,2020-03-18,975185.6338589005
305,2020-03-19,975185.6338589005
306,2020-03-20,975185.6338589005
307,2020-03-23,975185.6338589005
308,2020-03-24,975185.6338589005
309,2020-03-25,975185.6338589005
310,2020-03-26,983991.3864121941
311,2020-03-27,972878.9500481029
312,2020-03-30,983797.7134032871
313,2020-03-31,972986.2394206403
314,2020-04-01,942685.1645099327
315,2020-04-02,958069.6835158928
316,2020-04-03,946916.0564042445
317,2020-04-06,1025216.9999483544
318,2020-04-07,1017809.891956679
319,2020-04-08,1047867.548103399
320,2020-04-09,1056728.9595754694
321,2020-04-13,1046764.7979342714
322,2020-04-14,1069996.7572010877
323,2020-04-15,1047912.3191025613
324,2020-04-16,1037639.6210975171
325,2020-04-17,1036601.9953126083
326,2020-04-20,1033151.1468893129
327,2020-04-21,1026216.9035978441
328,2020-04-22,1034531.0106732099
329,2020-04-23,1035472.5868638874
330,2020-04-24,1039799.6209800609
331,2020-04-27,1049671.6377539793
332,2020-04-28,1049263.3814060027
333,2020-04-29,1076839.7408509164
334,2020-04-30,1062758.6522019438
335,2020-05-01,1036951.8551309301
336,2020-05-04,1044421.2873907732
337,2020-05-05,1047872.342203682
338,2020-05-06,1038369.295084663
339,2020-05-07,1052935.4662015436
340,2020-05-08,1071015.6935726826
341,2020-05-11,1065701.700587901
342,2020-05-12,1044886.2317406521
343,2020-05-13,1023796.5267777484
344,2020-05-14,1034286.444087435
345,2020-05-15,1041881.808684301
346,2020-05-18,1084047.0935181545
347,2020-05-19,1064672.6797689209
348,2020-05-20,1079452.5984355935
349,2020-05-21,1078622.4037175542
350,2020-05-22,1075558.857678968
351,2020-05-26,1093546.9071759046
352,2020-05-27,1108120.6137698786
353,2020-05-28,1104987.8137525038
354,2020-05-29,1109403.3001097299
355,2020-06-01,1113649.9547219407
356,2020-06-02,1127140.7571115198
357,2020-06-03,1153278.439343193
358,2020-06-04,1157983.733995759
359,2020-06-05,1202232.8534350393
360,2020-06-08,1236384.1044846266
361,2020-06-09,1215471.549711187
362,2020-06-10,1199379.7083264715
363,2020-06-11,1104782.9461408842
364,2020-06-12,1137155.6974246586
365,2020-06-15,1138393.976004455
366,2020-06-16,1165052.3499581853
367,2020-06-17,1156239.533787949
368,2020-06-18,1156724.7880014195
369,2020-06-19,1148765.8097042826
370,2020-06-22,1157555.3461742876
371,2020-06-23,1158168.6404547917
372,2020-06-24,1122993.209950202
373,2020-06-25,1129625.512703722
374,2020-06-26,1105161.1742417691
375,2020-06-29,1143076.1420607688
376,2020-06-30,1145180.1482224127
377,2020-07-01,1135504.195909696
378,2020-07-02,1141743.6443610252
379,2020-07-06,1159163.733198627
380,2020-07-07,1141933.6062670692
381,2020-07-08,1147878.624747414
382,2020-07-09,1129960.33957243
383,2020-07-10,1146656.7074855277
384,2020-07-13,1137841.7225430508
385,2020-07-14,1162801.0055625471
386,2020-07-15,1176881.4638159142
387,2020-07-16,1164984.5413251454
388,2020-07-17,1162321.1841102717
389,2020-07-20,1168174.2303329273
390,2020-07-21,1177865.9197764997
391,2020-07-22,1188214.2692576346
392,2020-07-23,1170900.1386876702
393,2020-07-24,1160861.8709143514
394,2020-07-27,1160371.7541272887
395,2020-07-28,1154506.9395856753
396,2020-07-29,1154574.6903766606
397,2020-07-30,1140437.536309389
398,2020-07-31,1129532.106905143
399,2020-08-03,1146876.7744752262
400,2020-08-04,1153023.9666761092
401,2020-08-05,1166322.4393343122
402,2020-08-06,1168827.8248262936
403,2020-08-07,1167147.1041686027
404,2020-08-10,1183838.6549832637
405,2020-08-11,1179030.2206321082
406,2020-08-12,1186871.0266324286
407,2020-08-13,1181034.6947602807
408,2020-08-14,1185055.9510815898
409,2020-08-17,1185921.8701838749
410,2020-08-18,1181014.6033442975
411,2020-08-19,1174159.9037064197
412,2020-08-20,1175833.3551434947
413,2020-08-21,1175205.8062348543
414,2020-08-24,1197513.8937461975
415,2020-08-25,1194494.6324537406
416,2020-08-26,1196208.9932374128
417,2020-08-27,1209246.2330323325
418,2020-08-28,1217513.279390394
419,2020-08-31,1202349.0516662544
420,2020-09-01,1206245.8305827868
421,2020-09-02,1224689.1361359768
422,2020-09-03,1183456.5601317356
423,2020-09-04,1173961.4780243423
424,2020-09-08,1140665.3391918184
425,2020-09-09,1159097.1681137718
426,2020-09-10,1137279.2565022914
427,2020-09-11,1142409.4256256104
428,2020-09-14,1156509.893792959
429,2020-09-15,1158609.0320440324
430,2020-09-16,1161980.1525915232
431,2020-09-17,1160063.3436657568
432,2020-09-18,1144156.8046717485
433,2020-09-21,1126239.8095517452
434,2020-09-22,1132361.0293535853
435,2020-09-23,1105157.6661297316
436,2020-09-24,1101628.3694252323
437,2020-09-25,1120844.16458995
438,2020-09-28,1144722.4437869177
439,2020-09-29,1134022.9436890879
440,2020-09-30,1146721.2762255028
441,2020-10-01,1151456.091684559
442,2020-10-02,1144699.1913297898
443,2020-10-05,1162852.1396516473
444,2020-10-06,1138189.0018375465
445,2020-10-07,1158459.0527127692
446,2020-10-08,1174902.5110263703
447,2020-10-09,1179484.2577515568
448,2020-10-12,1186885.5429714636
449,2020-10-13,1175177.8289162752
450,2020-10-14,1168957.7881807515
451,2020-10-15,1168757.9272942632
452,2020-10-16,1173805.489297076
453,2020-10-19,1156753.42476042
454,2020-10-20,1158668.7129574127
455,2020-10-21,1156849.6797696624
456,2020-10-22,1164826.2175018708
457,2020-10-23,1165094.3873202184
458,2020-10-26,1134888.8572532053
459,2020-10-27,1123735.1494449526
460,2020-10-28,1085795.7987717597
461,2020-10-29,1093289.6197212248
462,2020-10-30,1084822.495625623
463,2020-11-02,1103990.404493218
464,2020-11-03,1123884.1285981792
465,2020-11-04,1132095.4286831499
466,2020-11-05,1155626.2784348766
467,2020-11-06,1157516.3415673946
468,2020-11-09,1199143.450358265
469,2020-11-10,1219569.9437430478
470,2020-11-11,1215819.4651556434
471,2020-11-12,1199038.0472573384
472,2020-11-13,1223464.1921769676
473,2020-11-16,1254820.9159204713
474,2020-11-17,1245769.7007013499
475,2020-11-18,1225667.9001457766
476,2020-11-19,1232342.8151582552
477,2020-11-20,1219325.7141443193
478,2020-11-23,1243750.043957067
479,2020-11-24,1267180.100273922
480,2020-11-25,1263938.7488309215
481,2020-11-27,1263128.0940942797
482,2020-11-30,1248089.4931366628
