,date,account_value
0,2019-01-02,10000.0
1,2019-01-03,9854.6882
2,2019-01-04,9838.717
3,2019-01-07,9901.848575338096
4,2019-01-08,9805.803899957054
5,2019-01-09,10008.169584233636
6,2019-01-10,10155.497896321649
7,2019-01-11,10212.178623338097
8,2019-01-14,10159.502172940605
9,2019-01-15,10352.810172940606
10,2019-01-16,10305.656828984613
11,2019-01-17,10184.487350354548
12,2019-01-18,10343.970967294092
13,2019-01-21,10519.819034631128
14,2019-01-22,10443.112584233635
15,2019-01-23,10491.658062863702
16,2019-01-24,10594.663651570672
17,2019-01-25,10581.334690675134
18,2019-01-28,10585.824445924158
19,2019-01-29,10605.364690675135
20,2019-01-30,10807.243254804818
21,2019-01-31,10785.567132199802
22,2019-02-01,10779.468135457018
23,2019-02-11,11062.495871320283
24,2019-02-12,11116.231588291186
25,2019-02-13,11227.753062810536
26,2019-02-14,11213.77950672922
27,2019-02-15,11263.612535034274
28,2019-02-18,11533.72279230271
29,2019-02-19,11426.041409404148
30,2019-02-20,11427.580380410862
31,2019-02-21,11471.65478187435
32,2019-02-22,11456.735339762801
33,2019-02-25,11532.323017554378
34,2019-02-26,11615.045246400023
35,2019-02-27,11579.230168278747
36,2019-02-28,11251.143582767347
37,2019-03-01,11251.143582767347
38,2019-03-04,11268.271593143325
39,2019-03-05,11489.15156028352
40,2019-03-06,11744.287548175673
41,2019-03-07,11586.339567440382
42,2019-03-08,11535.312369861951
43,2019-03-11,11433.257974705093
44,2019-03-12,11807.57636813008
45,2019-03-13,11733.067008026746
46,2019-03-14,11727.076295383169
47,2019-03-15,11643.519351361876
48,2019-03-18,11535.978487251235
49,2019-03-19,11380.133354350028
50,2019-03-20,11580.425740018301
51,2019-03-21,11286.333605542595
52,2019-03-22,11363.738748135978
53,2019-03-25,10967.220329991751
54,2019-03-26,10973.468526296074
55,2019-03-27,11044.336039487298
56,2019-03-28,11142.383280599051
57,2019-03-29,11087.086669309074
58,2019-04-01,10999.97733315795
59,2019-04-02,11067.682166887826
60,2019-04-03,10975.297389380563
61,2019-04-04,11038.55202560615
62,2019-04-05,11191.360856356767
63,2019-04-08,11228.974553752472
64,2019-04-09,11155.260858954629
65,2019-04-10,10985.135951767434
66,2019-04-11,10982.242950481288
67,2019-04-12,10979.054090240732
68,2019-04-16,10942.95786547503
69,2019-04-17,10939.941365475031
70,2019-04-18,10835.218198655879
71,2019-04-19,10846.787448318484
72,2019-04-22,10708.546049980167
73,2019-04-23,10708.546049980167
74,2019-04-24,10829.416801406864
75,2019-04-25,10879.007900300436
76,2019-04-26,10948.391273268715
77,2019-05-02,11005.09544495607
78,2019-05-03,10994.1692183246
79,2019-05-06,10665.093391155611
80,2019-05-07,10648.155367995629
81,2019-05-08,10867.72652266272
82,2019-05-09,10970.256500302354
83,2019-05-10,11039.12356876282
84,2019-05-13,11175.403971987866
85,2019-05-14,11327.900893909884
86,2019-05-15,11341.608295566193
87,2019-05-16,11308.760110030475
88,2019-05-17,11274.011091217148
89,2019-05-20,11503.287896332551
90,2019-05-21,11430.638062536662
91,2019-05-22,11287.764822912004
92,2019-05-23,11318.704301593509
93,2019-05-24,11261.946450072628
94,2019-05-27,11153.817304893826
95,2019-05-28,11102.554657595012
96,2019-05-29,11152.825344786517
97,2019-05-30,11240.694042812092
98,2019-05-31,11101.309145446994
99,2019-06-03,10792.856960043873
100,2019-06-04,10915.154439675298
101,2019-06-05,10870.70314995667
102,2019-06-06,10744.742027825321
103,2019-06-07,10925.453324652639
104,2019-06-10,10842.371143607868
105,2019-06-11,10940.986902665485
106,2019-06-12,10799.277487564275
107,2019-06-13,10749.425608873555
108,2019-06-14,10679.844135550222
109,2019-06-17,10579.242378168783
110,2019-06-18,10595.774834801396
111,2019-06-19,10679.844135550222
112,2019-06-20,10780.09413853522
113,2019-06-21,10810.039236888462
114,2019-06-24,10774.508647296234
115,2019-06-25,10640.632062274264
116,2019-06-26,10672.778660321475
117,2019-06-27,10562.196014997242
118,2019-06-28,10588.671699836415
119,2019-07-01,10670.895118435963
120,2019-07-02,10731.317427957547
121,2019-07-03,10848.389795560634
122,2019-07-04,10921.347027191068
123,2019-07-05,10919.630637191069
124,2019-07-08,10964.999130305725
125,2019-07-09,10980.66851319865
126,2019-07-10,11173.93676268672
127,2019-07-11,11055.04995211653
128,2019-07-12,11034.322308866178
129,2019-07-15,11051.619643764525
130,2019-07-16,10971.457843303433
131,2019-07-17,10915.977735818578
132,2019-07-18,10845.617775159551
133,2019-07-19,10759.747954049742
134,2019-07-22,10690.02939635173
135,2019-07-23,10826.475818133877
136,2019-07-24,10742.46702094714
137,2019-07-25,10712.792790579098
138,2019-07-26,10586.670229923657
139,2019-07-29,10535.457186336544
140,2019-07-30,10533.621679046084
141,2019-07-31,10657.982679518114
142,2019-08-01,10833.16595579468
143,2019-08-02,10753.46197981074
144,2019-08-05,10588.632988090883
145,2019-08-06,10476.793356357179
146,2019-08-07,10462.020644061378
147,2019-08-08,11146.017558714899
148,2019-08-09,11263.382727345966
149,2019-08-12,11393.97026711973
150,2019-08-13,11616.108823671635
151,2019-08-14,11582.97003023228
152,2019-08-15,11702.221247814425
153,2019-08-16,11973.002943949718
154,2019-08-19,11952.375417923122
155,2019-08-20,11787.689134634093
156,2019-08-21,11845.780362209585
157,2019-08-22,11686.586235385206
158,2019-08-23,11558.362467193321
159,2019-08-26,11557.98190019332
160,2019-08-27,11619.612660487946
161,2019-08-28,11587.897544735728
162,2019-08-29,11571.873065197764
163,2019-08-30,11660.136582778132
164,2019-09-03,11737.922949144244
165,2019-09-04,11452.34337740314
166,2019-09-05,11230.401209490185
167,2019-09-06,11309.371920532587
168,2019-09-09,11214.161222952218
169,2019-09-10,11135.009167909815
170,2019-09-11,11468.216503767564
171,2019-09-12,11798.208728725478
172,2019-09-13,11781.225311007218
173,2019-09-16,11617.63318792486
174,2019-09-17,11645.48447660624
175,2019-09-18,11707.0627204246
176,2019-09-19,11696.0931092761
177,2019-09-20,11985.877794382608
178,2019-09-23,11720.276626764964
179,2019-09-24,11771.840874082558
180,2019-09-25,12180.666285477586
181,2019-09-26,12227.959394627884
182,2019-09-27,12027.526272143756
183,2019-09-30,11765.70322833034
