date,VIC,VIC,REE
2019-01-02,100.0,-100.0,-100.0
2019-01-03,100.0,-98.49353790283203,99.99859619140625
2019-01-04,99.99984741210938,-93.62358856201172,99.99559783935547
2019-01-07,90.12184143066406,-89.09114837646484,99.92417907714844
2019-01-08,99.42133331298828,-91.54702758789062,99.88839721679688
2019-01-09,94.8091049194336,-91.65771484375,89.4622573852539
2019-01-10,65.02520751953125,-90.56474304199219,97.72618865966797
2019-01-11,56.92918395996094,-91.92118835449219,96.64080047607422
2019-01-14,-92.22348022460938,-89.57185363769531,66.94221496582031
2019-01-15,100.0,-100.0,-100.0
2019-01-16,-99.95015716552734,-64.81207275390625,-69.71992492675781
2019-01-17,100.0,-100.0,-100.0
2019-01-18,99.99930572509766,-95.43804168701172,99.91316986083984
2019-01-21,86.75725555419922,-87.39755249023438,96.30973052978516
2019-01-22,97.31822204589844,-92.38272857666016,99.06993103027344
2019-01-23,99.92044067382812,-93.21829986572266,99.76367950439453
2019-01-24,99.99996185302734,-87.40862274169922,97.55232238769531
2019-01-25,-71.03302001953125,-89.17061614990234,97.47419738769531
2019-01-28,100.0,-100.0,-100.0
2019-01-29,-99.9996337890625,-89.59246063232422,-4.2464375495910645
2019-01-30,100.0,-100.0,-100.0
2019-01-31,-79.85479736328125,98.55988311767578,100.0
2019-02-01,91.20330810546875,-99.76232147216797,11.46811294555664
2019-02-11,-99.17137145996094,99.90180969238281,-99.9966049194336
2019-02-12,-99.96372985839844,99.98955535888672,-99.98958587646484
2019-02-13,-99.99015808105469,99.96495056152344,-99.99884796142578
2019-02-14,-99.90457916259766,99.63694763183594,-99.99835205078125
2019-02-15,-92.46358489990234,96.79688262939453,-99.9990005493164
2019-02-18,-97.45571899414062,97.03752136230469,-99.9983139038086
2019-02-19,-93.52098083496094,91.71392059326172,-99.99673461914062
2019-02-20,-80.20889282226562,96.15760040283203,-99.99720764160156
2019-02-21,96.64315795898438,90.79369354248047,-99.99198913574219
2019-02-22,-99.96546173095703,90.06819915771484,-99.99276733398438
2019-02-25,42.05534362792969,36.476219177246094,-99.98118591308594
2019-02-26,71.23725128173828,-20.624744415283203,-99.46399688720703
2019-02-27,87.46316528320312,-56.5753173828125,-88.19872283935547
2019-02-28,99.89960479736328,-95.61505126953125,29.35662269592285
2019-03-01,99.90560913085938,-75.1966552734375,99.23564147949219
2019-03-04,99.94063568115234,-12.073153495788574,78.7892074584961
2019-03-05,99.98448944091797,-30.83771514892578,94.70721435546875
2019-03-06,99.95965576171875,-72.8913345336914,99.29313659667969
2019-03-07,99.99260711669922,-53.538124084472656,98.82511901855469
2019-03-08,72.70275115966797,-80.13733673095703,99.47598266601562
2019-03-11,99.99991607666016,-82.86959838867188,99.62484741210938
2019-03-12,98.11668395996094,93.62979888916016,-99.9573745727539
2019-03-13,-100.0,68.1772689819336,-98.2906265258789
2019-03-14,100.0,-100.0,-100.0
2019-03-15,-61.17219161987305,70.14627075195312,99.15827178955078
2019-03-18,-53.81173324584961,33.253501892089844,-98.09416198730469
2019-03-19,100.0,-100.0,-100.0
2019-03-20,-99.99862670898438,-65.01610565185547,-73.23807525634766
2019-03-21,100.0,-100.0,-100.0
2019-03-22,99.99718475341797,-91.59965515136719,99.8294677734375
2019-03-25,99.8177490234375,-75.246826171875,99.998046875
2019-03-26,99.99781799316406,-77.91201782226562,99.98705291748047
2019-03-27,98.16780090332031,-84.20623779296875,99.90579986572266
2019-03-28,99.78797149658203,-81.22721862792969,99.65826416015625
2019-03-29,79.72483825683594,-23.23244857788086,79.23927307128906
2019-04-01,99.48429107666016,40.69301986694336,-84.81498718261719
2019-04-02,-93.96163940429688,65.34442901611328,99.99849700927734
2019-04-03,-98.83113861083984,28.98633575439453,-99.99998474121094
2019-04-04,-37.02324676513672,88.12982177734375,-100.0
2019-04-05,-99.47560119628906,95.70388793945312,-99.99913024902344
2019-04-08,-97.9370346069336,86.50537872314453,-99.99671936035156
2019-04-09,-48.42420196533203,-37.052268981933594,-99.85369873046875
2019-04-10,100.0,-100.0,-100.0
2019-04-11,99.99974060058594,-31.65450096130371,16.614877700805664
2019-04-12,-100.0,63.31050491333008,-27.425230026245117
2019-04-16,100.0,-100.0,-100.0
2019-04-17,-100.0,-65.4841537475586,-99.84996032714844
2019-04-18,100.0,-100.0,-100.0
2019-04-19,-99.99243927001953,-60.011112213134766,-93.74640655517578
2019-04-22,100.0,-100.0,-100.0
2019-04-23,99.76301574707031,-81.84854125976562,-62.41516876220703
2019-04-24,-99.99644470214844,-43.15013885498047,-97.06385040283203
2019-04-25,100.0,-100.0,-100.0
2019-04-26,-100.0,4.3936848640441895,-99.3138198852539
2019-05-02,100.0,-100.0,-100.0
2019-05-03,84.19113159179688,8.371710777282715,-99.70426940917969
2019-05-06,99.99971008300781,-50.54271697998047,-82.25403594970703
2019-05-07,-25.027334213256836,13.450193405151367,-98.82669067382812
2019-05-08,100.0,-100.0,-100.0
2019-05-09,96.68572235107422,-78.88561248779297,-49.78040313720703
2019-05-10,100.0,-81.22169494628906,-15.785908699035645
2019-05-13,-100.0,-37.6270751953125,-86.21294403076172
2019-05-14,100.0,-100.0,-100.0
2019-05-15,78.78836059570312,-4.692011833190918,-99.90039825439453
2019-05-16,-99.99954986572266,-58.67302322387695,-96.94615936279297
2019-05-17,100.0,-100.0,-100.0
2019-05-20,-99.99995422363281,67.6146011352539,-99.9339370727539
2019-05-21,100.0,-100.0,-100.0
2019-05-22,-99.96952056884766,42.42050552368164,-45.1873664855957
2019-05-23,100.0,-100.0,-100.0
