date,REE,VNM,REE
2019-01-02,-100.0,100.0,-100.0
2019-01-03,-99.98310089111328,100.0,-100.0
2019-01-04,-99.99990844726562,99.16083526611328,-99.99983978271484
2019-01-07,-99.99880981445312,99.95878601074219,-99.99640655517578
2019-01-08,-99.99593353271484,99.90541076660156,-99.99363708496094
2019-01-09,-99.87059020996094,99.91266632080078,-99.99140167236328
2019-01-10,-99.93547821044922,99.89693450927734,-99.99671936035156
2019-01-11,-99.90960693359375,99.88212585449219,-99.99712371826172
2019-01-14,-99.67310333251953,99.89583587646484,-99.99600219726562
2019-01-15,-98.77503204345703,99.86257934570312,-99.9989013671875
2019-01-16,-99.05068969726562,99.90316772460938,-99.9974594116211
2019-01-17,-99.97847747802734,99.75414276123047,-99.9931869506836
2019-01-18,-99.98506927490234,99.8543701171875,-99.98784637451172
2019-01-21,-99.90885925292969,99.99539947509766,-99.99840545654297
2019-01-22,-99.96025848388672,99.97994995117188,-99.9984359741211
2019-01-23,-99.98042297363281,99.36994171142578,-99.99778747558594
2019-01-24,-99.8354721069336,98.3072738647461,-99.99903106689453
2019-01-25,-99.58070373535156,99.92649841308594,-99.99932861328125
2019-01-28,-99.96202087402344,96.77079010009766,-99.99919891357422
2019-01-29,-98.62586212158203,96.35140991210938,-99.9997787475586
2019-01-30,-98.89160919189453,7.952392101287842,-99.99999237060547
2019-01-31,-55.5069694519043,49.36273193359375,-99.99999237060547
2019-02-01,-96.47513580322266,99.80493927001953,-99.99981689453125
2019-02-11,-79.4594497680664,48.13827133178711,-100.0
2019-02-12,-54.12010955810547,97.99244689941406,-100.0
2019-02-13,10.869157791137695,35.37602233886719,-100.0
2019-02-14,11.773263931274414,43.71367645263672,-100.0
2019-02-15,-54.88695526123047,75.50054931640625,-99.99999237060547
2019-02-18,-99.69068145751953,53.79032897949219,-99.99999237060547
2019-02-19,-86.5479507446289,64.10867309570312,-99.99999237060547
2019-02-20,89.70410919189453,50.47173309326172,-99.99999237060547
2019-02-21,-52.84320068359375,74.90730285644531,-99.99998474121094
2019-02-22,-94.52545928955078,31.361652374267578,-99.99998474121094
2019-02-25,-97.10633087158203,26.45918083190918,-100.0
2019-02-26,51.910709381103516,69.57728576660156,-99.99999237060547
2019-02-27,-96.60613250732422,99.35989379882812,-99.99999237060547
2019-02-28,-99.58515930175781,99.8952865600586,-99.99996948242188
2019-03-01,-99.89220428466797,68.58527374267578,-99.99994659423828
2019-03-04,-90.45068359375,100.0,-99.99998474121094
2019-03-05,-52.15868377685547,99.60308074951172,-99.99998474121094
2019-03-06,-99.28118133544922,95.0414810180664,-99.99996185302734
2019-03-07,-45.873905181884766,-93.09623718261719,-99.99996185302734
2019-03-08,-100.0,100.0,-100.0
2019-03-11,-99.97096252441406,14.731383323669434,-99.99976348876953
2019-03-12,96.54074096679688,100.0,-100.0
2019-03-13,7.831406593322754,65.887451171875,-99.99998474121094
2019-03-14,-91.71666717529297,8.704030990600586,-99.99998474121094
2019-03-15,96.29336547851562,98.66468811035156,-100.0
2019-03-18,-99.9918441772461,3.604555130004883,-99.99998474121094
2019-03-19,-96.88526916503906,100.0,-100.0
2019-03-20,-79.43932342529297,-90.97383117675781,-100.0
2019-03-21,-100.0,100.0,-100.0
2019-03-22,-99.92865753173828,96.7249755859375,-99.99990844726562
2019-03-25,-99.99878692626953,99.97270202636719,-99.99894714355469
2019-03-26,-99.99655151367188,99.95606994628906,-99.9996337890625
2019-03-27,-99.99162292480469,99.97529602050781,-99.99974060058594
2019-03-28,-99.96118927001953,99.98603057861328,-99.99974822998047
2019-03-29,-96.16547393798828,99.85677337646484,-99.99994659423828
2019-04-01,-94.29596710205078,97.75666809082031,-99.99996948242188
2019-04-02,-48.79238510131836,50.7720947265625,-100.0
2019-04-03,99.93739318847656,-30.244291305541992,-100.0
2019-04-04,99.99978637695312,99.9975357055664,-100.0
2019-04-05,-99.9999771118164,-85.35354614257812,-100.0
2019-04-08,-100.0,100.0,-100.0
2019-04-09,-91.550537109375,100.0,-100.0
2019-04-10,-95.34098052978516,99.98976135253906,-100.0
2019-04-11,-99.99503326416016,22.85584259033203,-100.0
2019-04-12,-61.877410888671875,99.45919799804688,-100.0
2019-04-16,-99.99153137207031,9.793985366821289,-100.0
2019-04-17,100.0,94.84841918945312,-100.0
2019-04-18,-99.99839782714844,87.2102279663086,-100.0
2019-04-19,87.15470886230469,-99.99991607666016,-100.0
2019-04-22,-100.0,100.0,-100.0
2019-04-23,-77.76763153076172,100.0,-100.0
2019-04-24,97.3221206665039,99.99856567382812,-100.0
2019-04-25,-98.35067749023438,86.58256530761719,-99.99999237060547
2019-04-26,51.29487609863281,86.97187805175781,-100.0
2019-05-02,-95.76313018798828,-7.548040390014648,-100.0
2019-05-03,-98.36791229248047,100.0,-100.0
2019-05-06,-95.73990631103516,99.36857604980469,-99.99998474121094
2019-05-07,-83.74662017822266,83.9447021484375,-99.99998474121094
2019-05-08,-52.84932327270508,95.46884155273438,-99.99998474121094
2019-05-09,-97.85208892822266,97.59294891357422,-99.9999771118164
2019-05-10,-99.57540893554688,99.99627685546875,-99.99998474121094
2019-05-13,98.06116485595703,97.37913513183594,-99.99999237060547
2019-05-14,59.58055114746094,41.38144302368164,-100.0
2019-05-15,-97.24188232421875,37.5050048828125,-99.99999237060547
2019-05-16,-91.61409759521484,83.47850036621094,-99.99999237060547
2019-05-17,-86.8582534790039,10.199165344238281,-99.99999237060547
2019-05-20,-99.9459228515625,87.76395416259766,-99.99999237060547
2019-05-21,-98.41764831542969,-34.360897064208984,-100.0
