date,STB,HPG,VNM
2019-01-02,100.0,100.0,-100.0
2019-01-03,100.0,100.0,-100.0
2019-01-04,100.0,100.0,-99.97941589355469
2019-01-07,100.0,100.0,99.40736389160156
2019-01-08,100.0,99.99368286132812,95.22042083740234
2019-01-09,100.0,99.9999771118164,6.972181797027588
2019-01-10,100.0,99.9999771118164,31.755470275878906
2019-01-11,100.0,99.99998474121094,15.379179000854492
2019-01-14,100.0,100.0,-55.956180572509766
2019-01-15,100.0,100.0,-92.5049057006836
2019-01-16,100.0,100.0,-90.02852630615234
2019-01-17,100.0,99.99995422363281,66.49861145019531
2019-01-18,100.0,99.99897766113281,99.12090301513672
2019-01-21,100.0,100.0,13.560401916503906
2019-01-22,100.0,100.0,80.11190795898438
2019-01-23,100.0,99.99993133544922,96.0154037475586
2019-01-24,99.99995422363281,100.0,46.08018493652344
2019-01-25,100.0,100.0,48.114418029785156
2019-01-28,100.0,99.99990844726562,99.2768783569336
2019-01-29,100.0,100.0,-27.819740295410156
2019-01-30,100.0,100.0,-99.9998779296875
2019-01-31,100.0,100.0,-99.9999771118164
2019-02-01,100.0,100.0,-95.72989654541016
2019-02-11,100.0,100.0,-100.0
2019-02-12,100.0,100.0,-100.0
2019-02-13,100.0,100.0,-100.0
2019-02-14,100.0,100.0,-100.0
2019-02-15,100.0,100.0,-99.9999771118164
2019-02-18,100.0,100.0,-99.99996948242188
2019-02-19,100.0,100.0,-99.99993133544922
2019-02-20,100.0,100.0,-99.99995422363281
2019-02-21,100.0,100.0,-99.99962615966797
2019-02-22,100.0,100.0,-99.99980163574219
2019-02-25,100.0,100.0,-99.99977111816406
2019-02-26,100.0,100.0,-99.99015808105469
2019-02-27,100.0,100.0,-99.92965698242188
2019-02-28,100.0,100.0,-77.69390869140625
2019-03-01,-99.0296630859375,100.0,-48.14057159423828
2019-03-04,-75.82160949707031,100.0,-95.31106567382812
2019-03-05,99.96293640136719,100.0,-94.72635650634766
2019-03-06,98.87468719482422,100.0,-12.623083114624023
2019-03-07,100.0,100.0,-34.98323059082031
2019-03-08,100.0,100.0,11.453187942504883
2019-03-11,100.0,99.99998474121094,51.003265380859375
2019-03-12,100.0,100.0,-99.99952697753906
2019-03-13,99.99456787109375,100.0,-99.99980926513672
2019-03-14,100.0,100.0,-99.99987030029297
2019-03-15,99.96826934814453,100.0,-99.99929809570312
2019-03-18,100.0,100.0,-99.99983978271484
2019-03-19,100.0,100.0,-99.99189758300781
2019-03-20,100.0,100.0,-98.76530456542969
2019-03-21,99.94017028808594,100.0,-40.46208190917969
2019-03-22,100.0,99.99982452392578,88.33768463134766
2019-03-25,-83.13452911376953,97.60979461669922,99.99911499023438
2019-03-26,100.0,98.65472412109375,99.9893569946289
2019-03-27,100.0,99.95178985595703,99.78115844726562
2019-03-28,99.99362182617188,99.99302673339844,98.490234375
2019-03-29,99.99851989746094,99.99995422363281,-23.300861358642578
2019-04-01,99.96310424804688,100.0,-99.84554290771484
2019-04-02,99.71923828125,100.0,-99.99775695800781
2019-04-03,99.43958282470703,100.0,-100.0
2019-04-04,100.0,100.0,-100.0
2019-04-05,100.0,100.0,-100.0
2019-04-08,100.0,100.0,-100.0
2019-04-09,99.99787902832031,100.0,-99.99993896484375
2019-04-10,98.81295776367188,100.0,-99.95671081542969
2019-04-11,100.0,100.0,-99.87049102783203
2019-04-12,-99.80243682861328,100.0,-99.99993133544922
2019-04-16,100.0,100.0,-99.99939727783203
2019-04-17,99.99085998535156,100.0,-99.9998779296875
2019-04-18,99.99983215332031,100.0,-99.99828338623047
2019-04-19,100.0,100.0,-99.99159240722656
2019-04-22,100.0,100.0,-97.97615051269531
