date,FPT,STB,VNM
2019-01-02,100.0,100.0,100.0
2019-01-03,59.631526947021484,-98.84075927734375,99.90628051757812
2019-01-04,-75.10413360595703,-100.0,99.45930480957031
2019-01-07,-96.0970687866211,99.57762908935547,93.55941009521484
2019-01-08,-86.1046371459961,99.72679901123047,97.27747344970703
2019-01-09,-79.85618591308594,99.99987030029297,96.88580322265625
2019-01-10,-23.909400939941406,98.74732208251953,95.0286865234375
2019-01-11,54.2485237121582,-95.240234375,97.05431365966797
2019-01-14,8.223462104797363,-100.0,99.11344146728516
2019-01-15,10.752689361572266,-96.52281951904297,97.69265747070312
2019-01-16,-0.19183754920959473,99.99337005615234,90.4865951538086
2019-01-17,-19.22060775756836,-99.99656677246094,82.56363677978516
2019-01-18,27.221214294433594,99.99357604980469,-59.342567443847656
2019-01-21,97.80596160888672,100.0,100.0
2019-01-22,-50.46962356567383,-100.0,81.24940490722656
2019-01-23,-65.5561752319336,-99.97966003417969,-84.03453063964844
2019-01-24,-100.0,100.0,100.0
2019-01-25,-69.31275939941406,-99.77897644042969,-95.57722473144531
2019-01-28,-100.0,100.0,100.0
2019-01-29,-98.14881896972656,99.84617614746094,-94.76140594482422
2019-01-30,-100.0,100.0,100.0
2019-01-31,-97.62098693847656,-85.28944396972656,-99.99854278564453
2019-02-01,-99.57181549072266,100.0,100.0
2019-02-11,-99.99995422363281,-99.9832763671875,-99.99938201904297
2019-02-12,-100.0,100.0,100.0
2019-02-13,-100.0,-99.99551391601562,-99.99992370605469
2019-02-14,-100.0,100.0,100.0
2019-02-15,-99.97045135498047,-48.13536834716797,-99.99677276611328
2019-02-18,-100.0,100.0,100.0
2019-02-19,-99.97027587890625,-99.37422180175781,-99.99710083007812
2019-02-20,-100.0,100.0,100.0
2019-02-21,-99.96949768066406,-99.99937438964844,-99.9830322265625
2019-02-22,-100.0,100.0,100.0
2019-02-25,-99.99298095703125,-99.9858169555664,-99.99751281738281
2019-02-26,-100.0,100.0,100.0
2019-02-27,-99.93666076660156,-99.99998474121094,-99.81754302978516
2019-02-28,-93.11264038085938,100.0,100.0
2019-03-01,-91.52803039550781,-100.0,-99.85945129394531
2019-03-04,99.9832992553711,100.0,100.0
2019-03-05,-100.0,-100.0,-99.52277374267578
2019-03-06,-100.0,100.0,100.0
2019-03-07,-99.9999771118164,-99.99818420410156,-99.79963684082031
2019-03-08,-100.0,100.0,100.0
2019-03-11,-22.13946533203125,-99.99949645996094,-99.46903228759766
2019-03-12,-100.0,100.0,100.0
2019-03-13,-99.99164581298828,-100.0,-99.96544647216797
2019-03-14,-100.0,100.0,100.0
2019-03-15,-99.67893981933594,99.6519775390625,-99.91304779052734
2019-03-18,-57.534332275390625,100.0,100.0
2019-03-19,-42.171627044677734,-83.47635650634766,-99.03067016601562
2019-03-20,52.76594161987305,100.0,100.0
2019-03-21,-99.9747085571289,-99.99652862548828,-98.3824462890625
2019-03-22,-100.0,100.0,100.0
2019-03-25,89.9638671875,-32.94385528564453,25.16268539428711
2019-03-26,-99.99652099609375,-100.0,-86.57061004638672
2019-03-27,90.99091339111328,100.0,100.0
2019-03-28,-99.97362518310547,-33.87541961669922,-76.6412353515625
2019-03-29,-99.99998474121094,100.0,100.0
2019-04-01,-98.44902038574219,-99.99984741210938,-98.9714126586914
2019-04-02,-99.99982452392578,100.0,100.0
2019-04-03,-99.99871826171875,-99.83695220947266,-99.99659729003906
2019-04-04,-99.99998474121094,100.0,100.0
2019-04-05,-99.99996185302734,-99.99874877929688,-99.99958801269531
2019-04-08,-100.0,100.0,100.0
2019-04-09,-99.99221801757812,-99.98638916015625,-99.99679565429688
2019-04-10,-100.0,100.0,100.0
2019-04-11,-96.01304626464844,-99.9959945678711,-99.76097106933594
2019-04-12,-99.99791717529297,100.0,100.0
2019-04-16,-99.9778060913086,99.27487182617188,-99.90192413330078
2019-04-17,-99.95164489746094,100.0,100.0
2019-04-18,-99.76747131347656,-77.26634979248047,-98.85128021240234
2019-04-19,-100.0,100.0,100.0
2019-04-22,-99.57066345214844,99.99742126464844,-95.73822021484375
2019-04-23,-100.0,100.0,100.0
2019-04-24,-99.9865493774414,26.9716739654541,-42.95049285888672
2019-04-25,-100.0,100.0,100.0
2019-04-26,-99.82621765136719,-25.932300567626953,-45.036773681640625
2019-05-02,-100.0,100.0,100.0
2019-05-03,-99.67140197753906,5.30695915222168,-60.914642333984375
2019-05-06,-99.94978332519531,100.0,100.0
2019-05-07,-99.08609008789062,-14.698087692260742,-57.35328674316406
2019-05-08,-99.99996185302734,100.0,100.0
2019-05-09,85.88130187988281,-59.19001007080078,-70.25259399414062
2019-05-10,-99.46957397460938,100.0,100.0
2019-05-13,-95.56603240966797,-99.9996337890625,-92.73139953613281
2019-05-14,-100.0,100.0,100.0
2019-05-15,-99.96837615966797,-99.99971008300781,-99.9124984741211
2019-05-16,-100.0,100.0,100.0
2019-05-17,-99.40394592285156,52.345096588134766,-99.76958465576172
2019-05-20,-100.0,100.0,100.0
2019-05-21,-99.99805450439453,4.606199264526367,-99.97396087646484
2019-05-22,-100.0,100.0,100.0
2019-05-23,-99.88831329345703,-96.60457611083984,-99.51708984375
2019-05-24,-100.0,100.0,100.0
2019-05-27,-95.49178314208984,-99.7597427368164,-98.84850311279297
2019-05-28,-100.0,100.0,100.0
2019-05-29,-97.51160430908203,99.99998474121094,-99.5452880859375
2019-05-30,-99.97273254394531,100.0,100.0
2019-05-31,-99.99995422363281,99.99308776855469,50.211761474609375
2019-06-03,-100.0,-99.9996337890625,99.90017700195312
2019-06-04,-42.591285705566406,-98.59121704101562,90.31914520263672
2019-06-05,-59.58298873901367,99.9986801147461,-30.50725555419922
2019-06-06,100.0,100.0,100.0
2019-06-07,-80.57571411132812,93.77727508544922,-16.42864990234375
2019-06-10,-100.0,97.81138610839844,100.0
2019-06-11,-89.33356475830078,85.23130798339844,51.658119201660156
2019-06-12,-95.80883026123047,61.161197662353516,64.41111755371094
2019-06-13,-79.37274932861328,-97.66460418701172,99.92902374267578
2019-06-14,-99.99202728271484,-100.0,97.61056518554688
2019-06-17,-97.37667083740234,-87.88749694824219,49.155784606933594
2019-06-18,-99.02710723876953,-99.99972534179688,19.114376068115234
2019-06-19,-99.59587097167969,99.99830627441406,-15.10344123840332
2019-06-20,-99.99999237060547,66.8660659790039,100.0
2019-06-21,-81.08616638183594,-98.85945892333984,-86.487548828125
2019-06-24,-100.0,100.0,100.0
2019-06-25,-99.98660278320312,-98.11506652832031,-99.96858215332031
