date,VNM,SBT,VIC
2019-01-02,-94.67985534667969,96.42469024658203,81.2867431640625
2019-01-03,-99.99868774414062,-14.36464786529541,13.765657424926758
2019-01-04,99.99996185302734,-98.13912200927734,20.02159309387207
2019-01-07,10.773873329162598,-79.80255126953125,-100.0
2019-01-08,-6.706953048706055,80.49409484863281,75.69563293457031
2019-01-09,96.08760070800781,-99.99452209472656,-35.53285598754883
2019-01-10,-74.67005157470703,-52.68091583251953,96.09992218017578
2019-01-11,-73.55120849609375,-99.97180938720703,80.23535919189453
2019-01-14,33.30059051513672,-99.9945068359375,-36.75297546386719
2019-01-15,-81.28431701660156,-69.97946166992188,96.8718032836914
2019-01-16,-85.03189849853516,-98.00970458984375,83.20722961425781
2019-01-17,98.75662231445312,-25.42547035217285,75.88267517089844
2019-01-18,99.63235473632812,34.82906723022461,91.20614624023438
2019-01-21,98.61931610107422,-97.80889129638672,99.13092041015625
2019-01-22,76.38846588134766,99.84323120117188,81.19351959228516
2019-01-23,94.83015441894531,-99.589599609375,-83.6240005493164
2019-01-24,68.9067611694336,-99.99977111816406,98.61566162109375
2019-01-25,88.27044677734375,-99.46685791015625,91.96095275878906
2019-01-28,32.85734558105469,-42.08522415161133,84.29512786865234
2019-01-29,85.37953186035156,99.99993896484375,98.85742950439453
2019-01-30,65.51997375488281,-99.99934387207031,97.79175567626953
2019-01-31,86.11486053466797,-100.0,90.53147888183594
2019-02-01,96.55547332763672,-41.18034744262695,95.47190856933594
2019-02-11,30.405271530151367,-97.2174072265625,98.77391052246094
2019-02-12,97.97528076171875,100.0,79.49712371826172
2019-02-13,79.59961700439453,-99.9989242553711,99.30093383789062
2019-02-14,99.95539093017578,100.0,99.98372650146484
2019-02-15,36.222862243652344,100.0,99.96859741210938
2019-02-18,-38.813228607177734,97.54854583740234,99.75679016113281
2019-02-19,83.44927978515625,-99.96780395507812,96.69734191894531
2019-02-20,83.03865051269531,-99.99999237060547,99.50183868408203
2019-02-21,41.390968322753906,-99.862060546875,99.49531555175781
2019-02-22,-15.936112403869629,99.98197937011719,99.97355651855469
2019-02-25,37.148773193359375,-0.4162013530731201,75.18465423583984
2019-02-26,30.470561981201172,-17.575191497802734,80.66353607177734
2019-02-27,79.52995300292969,55.99407958984375,26.62358283996582
2019-02-28,-20.133663177490234,88.77076721191406,-98.92859649658203
2019-03-01,-62.109066009521484,83.7241439819336,84.00650024414062
2019-03-04,93.18560028076172,71.7217788696289,77.7455062866211
2019-03-05,62.549293518066406,-21.741331100463867,34.46738815307617
2019-03-06,84.80364990234375,-95.86348724365234,-7.731807231903076
