,date,account_value
0,2019-01-02,10000.0
1,2019-01-03,9861.863838000001
2,2019-01-04,10016.210273
3,2019-01-07,10477.143273
4,2019-01-08,10395.060224902405
5,2019-01-09,10546.851740790436
6,2019-01-10,10531.213740790436
7,2019-01-11,10713.737740790437
8,2019-01-14,10792.415200790438
9,2019-01-15,10784.961200790438
10,2019-01-16,10633.695200790438
11,2019-01-17,10569.647200790438
12,2019-01-18,10713.152026790436
13,2019-01-21,10697.203274790436
14,2019-01-22,10713.016082790436
15,2019-01-23,10753.590082790437
16,2019-01-24,10833.214260790437
17,2019-01-25,10864.708690790436
18,2019-01-28,10912.407310790437
19,2019-01-29,10912.305866790437
20,2019-01-30,10832.634355710643
21,2019-01-31,10792.427972648282
22,2019-02-01,10792.384594960828
23,2019-02-11,10953.761017679828
24,2019-02-12,11033.377814090356
25,2019-02-13,11057.308814090355
26,2019-02-14,11144.572814090354
27,2019-02-15,11208.472814090353
28,2019-02-18,11352.184814090353
29,2019-02-19,11398.918814090355
30,2019-02-20,11431.144814090354
31,2019-02-21,11869.330814090354
32,2019-02-22,11901.202814090353
33,2019-02-25,12116.281664090353
34,2019-02-26,11677.954964090353
35,2019-02-27,11805.052964090353
36,2019-02-28,11278.450964090354
37,2019-03-01,11302.282064090354
38,2019-03-04,11421.724064090355
39,2019-03-05,11349.931814090354
40,2019-03-06,11270.017814090355
41,2019-03-07,11165.375812090355
42,2019-03-08,10949.678492090352
43,2019-03-11,10997.376692090354
44,2019-03-12,11108.984150090353
45,2019-03-13,11053.511446090353
46,2019-03-14,10966.493446090353
47,2019-03-15,10950.440446090353
48,2019-03-18,11029.998296090354
49,2019-03-19,10941.851660090353
50,2019-03-20,11069.651660090352
51,2019-03-21,10869.647660090353
52,2019-03-22,10909.390160090354
53,2019-03-25,10908.657948090355
54,2019-03-26,10908.618428090354
55,2019-03-27,10909.522656090354
56,2019-03-28,10805.951940090354
57,2019-03-29,10774.127940090353
58,2019-04-01,11076.659940090354
59,2019-04-02,11107.948740090354
60,2019-04-03,11068.318740090353
61,2019-04-04,11028.586740090355
62,2019-04-05,10893.082740090354
63,2019-04-08,10964.788740090355
64,2019-04-09,10821.478740090355
