date,REE,REE,HPG
2019-01-02,100.0,-100.0,100.0
2019-01-03,100.0,-100.0,100.0
2019-01-04,100.0,100.0,-59.69514846801758
2019-01-07,99.99990844726562,-99.99986267089844,99.9500503540039
2019-01-08,99.99960327148438,100.0,95.14196014404297
2019-01-09,99.98236083984375,100.0,100.0
2019-01-10,99.99446868896484,63.97038650512695,100.0
2019-01-11,99.99307250976562,-99.9240493774414,99.99998474121094
2019-01-14,99.95777893066406,-99.97355651855469,44.733367919921875
2019-01-15,99.84978485107422,-99.9996337890625,99.9999771118164
2019-01-16,99.8920669555664,99.99906158447266,98.7641830444336
2019-01-17,99.99711608886719,-99.9979019165039,99.77308654785156
2019-01-18,99.99971008300781,99.96943664550781,100.0
2019-01-21,99.97064971923828,99.9317855834961,99.9996337890625
2019-01-22,99.99237060546875,-99.99932861328125,99.39030456542969
2019-01-23,99.99761962890625,100.0,99.73020935058594
2019-01-24,99.95718383789062,-99.99929809570312,99.99934387207031
2019-01-25,99.92341613769531,99.99735260009766,100.0
2019-01-28,99.99797058105469,100.0,100.0
2019-01-29,98.76961517333984,100.0,-99.8625259399414
2019-01-30,-98.26371765136719,99.99925231933594,-99.99987030029297
2019-01-31,99.99989318847656,-100.0,-11.17122745513916
2019-02-01,100.0,-100.0,-19.07048225402832
2019-02-11,-99.99579620361328,-100.0,-100.0
2019-02-12,100.0,-100.0,100.0
2019-02-13,-99.9722671508789,-99.99991607666016,-100.0
2019-02-14,100.0,-100.0,-99.24061584472656
2019-02-15,100.0,-100.0,-86.50506591796875
2019-02-18,-96.25531005859375,-99.95697021484375,-100.0
2019-02-19,100.0,-100.0,100.0
2019-02-20,-5.277508735656738,100.0,-100.0
2019-02-21,-85.5914535522461,-1.0071039199829102,-98.6819076538086
2019-02-22,100.0,-100.0,100.0
2019-02-25,8.17272663116455,-56.33974838256836,-99.99980163574219
2019-02-26,100.0,-100.0,-99.55290222167969
2019-02-27,-73.98301696777344,99.99658203125,-96.97282409667969
2019-02-28,97.32091522216797,99.99982452392578,97.06344604492188
2019-03-01,94.36160278320312,100.0,99.99647521972656
2019-03-04,3.2987594604492188,100.0,-99.99944305419922
2019-03-05,31.026697158813477,100.0,100.0
2019-03-06,94.96218872070312,-100.0,-30.203168869018555
2019-03-07,52.054344177246094,99.99911499023438,99.86290740966797
2019-03-08,88.13692474365234,99.35456848144531,-99.94021606445312
2019-03-11,92.01519775390625,100.0,-100.0
2019-03-12,-98.81024169921875,100.0,-99.99830627441406
2019-03-13,-91.1937484741211,99.96808624267578,-100.0
2019-03-14,-98.93045806884766,-94.73744201660156,-100.0
2019-03-15,100.0,-100.0,100.0
2019-03-18,100.0,-100.0,-50.41114044189453
2019-03-19,100.0,-99.78058624267578,99.99618530273438
2019-03-20,71.51658630371094,-79.68264770507812,62.35277557373047
2019-03-21,98.07489013671875,99.99998474121094,100.0
2019-03-22,99.7863998413086,100.0,100.0
2019-03-25,99.99993133544922,100.0,100.0
2019-03-26,99.99732971191406,99.98469543457031,100.0
2019-03-27,99.96270751953125,99.99995422363281,99.9999771118164
2019-03-28,99.83121490478516,100.0,100.0
2019-03-29,87.485595703125,100.0,89.91966247558594
2019-04-01,11.538195610046387,99.95680236816406,-99.99998474121094
2019-04-02,-92.18238830566406,100.0,99.99866485595703
2019-04-03,-98.67169189453125,99.99998474121094,-99.99998474121094
2019-04-04,-99.99968719482422,8.861982345581055,-100.0
2019-04-05,100.0,-100.0,100.0
2019-04-08,100.0,-98.88165283203125,-99.92389678955078
2019-04-09,100.0,-100.0,97.02296447753906
2019-04-10,-47.68936538696289,-99.99700927734375,99.6114730834961
